0,1,stock
Total Cash (mrq),14.32B,PYPL
Total Cash Per Share (mrq),13.69,PYPL
Total Debt (mrq),11.64B,PYPL
Total Debt/Equity (mrq),56.24%,PYPL
Current Ratio (mrq),1.28,PYPL
Book Value Per Share (mrq),19.66,PYPL
Total Cash (mrq),67.15B,AAPL
Total Cash Per Share (mrq),4.38,AAPL
Total Debt (mrq),104.59B,AAPL
Total Debt/Equity (mrq),140.97%,AAPL
Current Ratio (mrq),1.04,AAPL
Book Value Per Share (mrq),4.84,AAPL
Total Cash (mrq),24.9B,F
Total Cash Per Share (mrq),6.24,F
Total Debt (mrq),151.42B,F
Total Debt/Equity (mrq),352.99%,F
Current Ratio (mrq),1.17,F
Book Value Per Share (mrq),10.74,F
Total Cash (mrq),4.47B,DAL
Total Cash Per Share (mrq),6.97,DAL
Total Debt (mrq),27.41B,DAL
Total Debt/Equity (mrq),245.80%,DAL
Current Ratio (mrq),0.41,DAL
Book Value Per Share (mrq),17.39,DAL
Total Cash (mrq),1.72B,PHM
Total Cash Per Share (mrq),8.19,PHM
Total Debt (mrq),2.59B,PHM
Total Debt/Equity (mrq),24.10%,PHM
Current Ratio (mrq),5.74,PHM
Book Value Per Share (mrq),51.09,PHM
Total Cash (mrq),217.21B,PDD
Total Cash Per Share (mrq),39.1,PDD
Total Debt (mrq),10.17B,PDD
Total Debt/Equity (mrq),5.43%,PDD
Current Ratio (mrq),1.93,PDD
Book Value Per Share (mrq),136.09,PDD
Total Cash (mrq),20.48B,GM
Total Cash Per Share (mrq),17.95,GM
Total Debt (mrq),124.62B,GM
Total Debt/Equity (mrq),176.52%,GM
Current Ratio (mrq),1.16,GM
Book Value Per Share (mrq),60.54,GM
Total Cash (mrq),9.1B,AAL
Total Cash Per Share (mrq),13.86,AAL
Total Debt (mrq),40.06B,AAL
Total Debt/Equity (mrq),--,AAL
Current Ratio (mrq),0.58,AAL
Book Value Per Share (mrq),-8.38,AAL
Total Cash (mrq),10.51B,LUV
Total Cash Per Share (mrq),17.57,LUV
Total Debt (mrq),9.16B,LUV
Total Debt/Equity (mrq),89.85%,LUV
Current Ratio (mrq),1.09,LUV
Book Value Per Share (mrq),17.04,LUV
Total Cash (mrq),181.46M,BATRA
Total Cash Per Share (mrq),2.93,BATRA
Total Debt (mrq),685.76M,BATRA
Total Debt/Equity (mrq),139.59%,BATRA
Current Ratio (mrq),0.80,BATRA
Book Value Per Share (mrq),7.74,BATRA
Total Cash (mrq),6.63B,DIS
Total Cash Per Share (mrq),3.64,DIS
Total Debt (mrq),46.3B,DIS
Total Debt/Equity (mrq),44.62%,DIS
Current Ratio (mrq),0.75,DIS
Book Value Per Share (mrq),54.35,DIS
Total Cash (mrq),578M,COOP
Total Cash Per Share (mrq),8.93,COOP
Total Debt (mrq),9.08B,COOP
Total Debt/Equity (mrq),206.13%,COOP
Current Ratio (mrq),4.26,COOP
Book Value Per Share (mrq),68.06,COOP
Total Cash (mrq),614.4B,BABA
Total Cash Per Share (mrq),30.72,BABA
Total Debt (mrq),198.51B,BABA
Total Debt/Equity (mrq),17.38%,BABA
Current Ratio (mrq),1.80,BABA
Book Value Per Share (mrq),404.24,BABA
Total Cash (mrq),2.75B,DHI
Total Cash Per Share (mrq),8.34,DHI
Total Debt (mrq),5.99B,DHI
Total Debt/Equity (mrq),24.64%,DHI
Current Ratio (mrq),5.70,DHI
Book Value Per Share (mrq),72.12,DHI
Total Cash (mrq),6.51B,CMCSA
Total Cash Per Share (mrq),1.66,CMCSA
Total Debt (mrq),96.57B,CMCSA
Total Debt/Equity (mrq),115.95%,CMCSA
Current Ratio (mrq),0.60,CMCSA
Book Value Per Share (mrq),20.98,CMCSA
Total Cash (mrq),13.99B,UAL
Total Cash Per Share (mrq),42.55,UAL
Total Debt (mrq),34.84B,UAL
Total Debt/Equity (mrq),379.23%,UAL
Current Ratio (mrq),0.75,UAL
Book Value Per Share (mrq),27.94,UAL
Total Cash (mrq),4.57B,EDU
Total Cash Per Share (mrq),2.76,EDU
Total Debt (mrq),564.01M,EDU
Total Debt/Equity (mrq),13.59%,EDU
Current Ratio (mrq),1.95,EDU
Book Value Per Share (mrq),23.41,EDU
Total Cash (mrq),379.15B,TCEHY
Total Cash Per Share (mrq),40.45,TCEHY
Total Debt (mrq),371.24B,TCEHY
Total Debt/Equity (mrq),42.49%,TCEHY
Current Ratio (mrq),1.47,TCEHY
Book Value Per Share (mrq),86.26,TCEHY
Total Cash (mrq),989.74M,VFC
Total Cash Per Share (mrq),2.55,VFC
Total Debt (mrq),7.34B,VFC
Total Debt/Equity (mrq),348.09%,VFC
Current Ratio (mrq),1.24,VFC
Book Value Per Share (mrq),5.43,VFC
Total Cash (mrq),103.26B,LI
Total Cash Per Share (mrq),52,LI
Total Debt (mrq),13.55B,LI
Total Debt/Equity (mrq),22.36%,LI
Current Ratio (mrq),1.57,LI
Book Value Per Share (mrq),60.58,LI
Total Cash (mrq),145.16B,MPNGY
Total Cash Per Share (mrq),23.25,MPNGY
Total Debt (mrq),60.62B,MPNGY
Total Debt/Equity (mrq),39.89%,MPNGY
Current Ratio (mrq),1.82,MPNGY
Book Value Per Share (mrq),24.34,MPNGY
Total Cash (mrq),3.23B,WB
Total Cash Per Share (mrq),13.26,WB
Total Debt (mrq),2.71B,WB
Total Debt/Equity (mrq),76.91%,WB
Current Ratio (mrq),2.51,WB
Book Value Per Share (mrq),14.01,WB
Total Cash (mrq),12.97B,BZ
Total Cash Per Share (mrq),14.74,BZ
Total Debt (mrq),280.09M,BZ
Total Debt/Equity (mrq),2.09%,BZ
Current Ratio (mrq),3.07,BZ
Book Value Per Share (mrq),30.53,BZ
Total Cash (mrq),26.86B,TSLA
Total Cash Per Share (mrq),8.42,TSLA
Total Debt (mrq),9.91B,TSLA
Total Debt/Equity (mrq),15.21%,TSLA
Current Ratio (mrq),1.72,TSLA
Book Value Per Share (mrq),20.19,TSLA
Total Cash (mrq),67.15B,AAPL
Total Cash Per Share (mrq),4.38,AAPL
Total Debt (mrq),104.59B,AAPL
Total Debt/Equity (mrq),140.97%,AAPL
Current Ratio (mrq),1.04,AAPL
Book Value Per Share (mrq),4.84,AAPL
Total Cash (mrq),6.03B,AMD
Total Cash Per Share (mrq),3.73,AMD
Total Debt (mrq),3B,AMD
Total Debt/Equity (mrq),5.34%,AMD
Current Ratio (mrq),2.64,AMD
Book Value Per Share (mrq),34.73,AMD
Total Cash (mrq),437M,RCL
Total Cash Per Share (mrq),1.7,RCL
Total Debt (mrq),21.18B,RCL
Total Debt/Equity (mrq),397.84%,RCL
Current Ratio (mrq),0.19,RCL
Book Value Per Share (mrq),20.02,RCL
