0,1,stock
Forward Annual Dividend Rate 4,--,PYPL
Forward Annual Dividend Yield 4,--,PYPL
Trailing Annual Dividend Rate 3,0.00,PYPL
Trailing Annual Dividend Yield 3,0.00%,PYPL
5 Year Average Dividend Yield 4,--,PYPL
Payout Ratio 4,0.00%,PYPL
Dividend Date 3,--,PYPL
Ex-Dividend Date 4,--,PYPL
Last Split Factor 2,--,PYPL
Last Split Date 3,--,PYPL
Forward Annual Dividend Rate 4,1,AAPL
Forward Annual Dividend Yield 4,0.55%,AAPL
Trailing Annual Dividend Rate 3,0.96,AAPL
Trailing Annual Dividend Yield 3,0.53%,AAPL
5 Year Average Dividend Yield 4,0.73,AAPL
Payout Ratio 4,14.93%,AAPL
Dividend Date 3,2/15/2024,AAPL
Ex-Dividend Date 4,5/10/2024,AAPL
Last Split Factor 2,4:1,AAPL
Last Split Date 3,8/31/2020,AAPL
Forward Annual Dividend Rate 4,0.6,F
Forward Annual Dividend Yield 4,4.93%,F
Trailing Annual Dividend Rate 3,0.60,F
Trailing Annual Dividend Yield 3,4.93%,F
5 Year Average Dividend Yield 4,5.76,F
Payout Ratio 4,61.86%,F
Dividend Date 3,6/3/2024,F
Ex-Dividend Date 4,5/7/2024,F
Last Split Factor 2,1748175:1000000,F
Last Split Date 3,8/3/2000,F
Forward Annual Dividend Rate 4,0.4,DAL
Forward Annual Dividend Yield 4,0.77%,DAL
Trailing Annual Dividend Rate 3,0.40,DAL
Trailing Annual Dividend Yield 3,0.77%,DAL
5 Year Average Dividend Yield 4,2.30,DAL
Payout Ratio 4,3.85%,DAL
Dividend Date 3,6/4/2024,DAL
Ex-Dividend Date 4,5/13/2024,DAL
Last Split Factor 2,--,DAL
Last Split Date 3,--,DAL
Forward Annual Dividend Rate 4,0.8,PHM
Forward Annual Dividend Yield 4,0.68%,PHM
Trailing Annual Dividend Rate 3,0.72,PHM
Trailing Annual Dividend Yield 3,0.62%,PHM
5 Year Average Dividend Yield 4,1.11,PHM
Payout Ratio 4,5.77%,PHM
Dividend Date 3,4/2/2024,PHM
Ex-Dividend Date 4,6/18/2024,PHM
Last Split Factor 2,2:1,PHM
Last Split Date 3,9/2/2005,PHM
Forward Annual Dividend Rate 4,--,PDD
