0,1,stock
Return on Assets (ttm),3.95%,PYPL
Return on Equity (ttm),21.40%,PYPL
Return on Assets (ttm),22.07%,AAPL
Return on Equity (ttm),147.25%,AAPL
Return on Assets (ttm),1.12%,F
Return on Equity (ttm),9.40%,F
Return on Assets (ttm),5.17%,DAL
Return on Equity (ttm),57.54%,DAL
Return on Assets (ttm),14.13%,PHM
Return on Equity (ttm),27.30%,PHM
Return on Assets (ttm),12.54%,PDD
Return on Equity (ttm),39.36%,PDD
Return on Assets (ttm),2.47%,GM
Return on Equity (ttm),14.43%,GM
Return on Assets (ttm),3.51%,AAL
Return on Equity (ttm),--,AAL
Return on Assets (ttm),1.35%,LUV
Return on Equity (ttm),3.84%,LUV
Return on Assets (ttm),-1.87%,BATRA
Return on Equity (ttm),-32.30%,BATRA
Return on Assets (ttm),3.41%,DIS
Return on Equity (ttm),2.72%,DIS
Return on Assets (ttm),3.84%,COOP
Return on Equity (ttm),15.35%,COOP
Return on Assets (ttm),4.43%,BABA
Return on Equity (ttm),8.21%,BABA
Return on Assets (ttm),12.27%,DHI
Return on Equity (ttm),22.09%,DHI
Return on Assets (ttm),5.61%,CMCSA
Return on Equity (ttm),18.13%,CMCSA
Return on Assets (ttm),4.77%,UAL
Return on Equity (ttm),33.90%,UAL
Return on Assets (ttm),3.63%,EDU
Return on Equity (ttm),8.39%,EDU
Return on Assets (ttm),6.45%,TCEHY
Return on Equity (ttm),14.25%,TCEHY
Return on Assets (ttm),3.56%,VFC
Return on Equity (ttm),-28.20%,VFC
Return on Assets (ttm),4.02%,LI
Return on Equity (ttm),22.33%,LI
Return on Assets (ttm),2.09%,MPNGY
Return on Equity (ttm),9.88%,MPNGY
Return on Assets (ttm),4.10%,WB
Return on Equity (ttm),10.35%,WB
Return on Assets (ttm),2.22%,BZ
Return on Equity (ttm),8.77%,BZ
Return on Assets (ttm),4.72%,TSLA
Return on Equity (ttm),23.74%,TSLA
Return on Assets (ttm),22.07%,AAPL
Return on Equity (ttm),147.25%,AAPL
Return on Assets (ttm),0.54%,AMD
Return on Equity (ttm),2.01%,AMD
Return on Assets (ttm),6.19%,RCL
Return on Equity (ttm),50.68%,RCL
Return on Assets (ttm),0.93%,PFE
Return on Equity (ttm),-0.26%,PFE
