metric,2024-03-31 00:00:00,2023-12-31 00:00:00,2023-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,stock,2024-02-29 00:00:00,2023-11-30 00:00:00,2023-08-31 00:00:00,2023-05-31 00:00:00,2023-02-28 00:00:00
Tax Effect Of Unusual Items,-69297766.74938,66947573.898494,-2700000.0,22890000.0,-30160000.0,PYPL,,,,,
Tax Rate For Calcs,0.265509,0.21807,0.18,0.21,0.26,PYPL,,,,,
Normalized EBITDA,1821000000.0,1836000000.0,1612000000.0,1550000000.0,1547000000.0,PYPL,,,,,
Total Unusual Items,-261000000.0,307000000.0,-15000000.0,109000000.0,-116000000.0,PYPL,,,,,
Total Unusual Items Excluding Goodwill,-261000000.0,307000000.0,-15000000.0,109000000.0,-116000000.0,PYPL,,,,,
Net Income From Continuing Operation Net Minority Interest,888000000.0,1402000000.0,1020000000.0,1029000000.0,795000000.0,PYPL,,,,,
Reconciled Depreciation,265000000.0,263000000.0,270000000.0,269000000.0,270000000.0,PYPL,,,,,
Reconciled Cost Of Revenue,4238000000.0,4354000000.0,4049000000.0,3939000000.0,3725000000.0,PYPL,,,,,
EBITDA,1560000000.0,2143000000.0,1597000000.0,1659000000.0,1431000000.0,PYPL,,,,,
EBIT,1295000000.0,1880000000.0,1327000000.0,1390000000.0,1161000000.0,PYPL,,,,,
Net Interest Income,80000000.0,45000000.0,38000000.0,29000000.0,21000000.0,PYPL,,,,,
Interest Expense,86000000.0,87000000.0,86000000.0,87000000.0,87000000.0,PYPL,,,,,
Interest Income,166000000.0,132000000.0,124000000.0,116000000.0,108000000.0,PYPL,,,,,
Normalized Income,1079702233.25062,1161947573.898494,1032300000.0,942890000.0,880840000.0,PYPL,,,,,
Net Income From Continuing And Discontinued Operation,888000000.0,1402000000.0,1020000000.0,1029000000.0,795000000.0,PYPL,,,,,
Total Expenses,6319000000.0,6609000000.0,6211000000.0,6130000000.0,5877000000.0,PYPL,,,,,
