0,1,stock
Avg Vol (3 month) 3,13.86M,PYPL
Avg Vol (10 day) 3,16.55M,PYPL
Shares Outstanding 5,1.05B,PYPL
Implied Shares Outstanding 6,1.05B,PYPL
Float 8,1.04B,PYPL
% Held by Insiders 1,0.21%,PYPL
% Held by Institutions 1,74.32%,PYPL
Shares Short (4/15/2024) 4,20.97M,PYPL
Short Ratio (4/15/2024) 4,1.94,PYPL
Short % of Float (4/15/2024) 4,1.99%,PYPL
Short % of Shares Outstanding (4/15/2024) 4,1.99%,PYPL
Shares Short (prior month 3/15/2024) 4,22.95M,PYPL
Avg Vol (3 month) 3,64.41M,AAPL
Avg Vol (10 day) 3,74.14M,AAPL
Shares Outstanding 5,15.33B,AAPL
Implied Shares Outstanding 6,15.33B,AAPL
Float 8,15.31B,AAPL
% Held by Insiders 1,5.98%,AAPL
% Held by Institutions 1,57.18%,AAPL
Shares Short (4/15/2024) 4,101.91M,AAPL
Short Ratio (4/15/2024) 4,1.58,AAPL
Short % of Float (4/15/2024) 4,0.66%,AAPL
Short % of Shares Outstanding (4/15/2024) 4,0.66%,AAPL
Shares Short (prior month 3/15/2024) 4,110.86M,AAPL
Avg Vol (3 month) 3,50.64M,F
Avg Vol (10 day) 3,56.58M,F
Shares Outstanding 5,3.92B,F
Implied Shares Outstanding 6,3.99B,F
Float 8,3.91B,F
% Held by Insiders 1,0.28%,F
% Held by Institutions 1,56.67%,F
Shares Short (4/15/2024) 4,139.02M,F
Short Ratio (4/15/2024) 4,2.77,F
Short % of Float (4/15/2024) 4,3.87%,F
Short % of Shares Outstanding (4/15/2024) 4,3.50%,F
Shares Short (prior month 3/15/2024) 4,144.76M,F
Avg Vol (3 month) 3,10.04M,DAL
Avg Vol (10 day) 3,9.68M,DAL
Shares Outstanding 5,645.31M,DAL
Implied Shares Outstanding 6,645.31M,DAL
Float 8,638M,DAL
% Held by Insiders 1,0.30%,DAL
% Held by Institutions 1,71.19%,DAL
Shares Short (4/15/2024) 4,18.86M,DAL
Short Ratio (4/15/2024) 4,1.63,DAL
Short % of Float (4/15/2024) 4,3.30%,DAL
Short % of Shares Outstanding (4/15/2024) 4,2.92%,DAL
Shares Short (prior month 3/15/2024) 4,16.1M,DAL
Avg Vol (3 month) 3,1.76M,PHM
Avg Vol (10 day) 3,1.7M,PHM
Shares Outstanding 5,210.34M,PHM
Implied Shares Outstanding 6,210.34M,PHM
Float 8,208.33M,PHM
% Held by Insiders 1,0.74%,PHM
% Held by Institutions 1,93.13%,PHM
Shares Short (4/15/2024) 4,4.67M,PHM
Short Ratio (4/15/2024) 4,2.76,PHM
Short % of Float (4/15/2024) 4,2.87%,PHM
Short % of Shares Outstanding (4/15/2024) 4,2.22%,PHM
Shares Short (prior month 3/15/2024) 4,6.14M,PHM
Avg Vol (3 month) 3,8.75M,PDD
Avg Vol (10 day) 3,9.19M,PDD
Shares Outstanding 5,1.39B,PDD
Implied Shares Outstanding 6,1.33B,PDD
Float 8,2.99B,PDD
% Held by Insiders 1,0.00%,PDD
% Held by Institutions 1,30.24%,PDD
Shares Short (4/15/2024) 4,28.55M,PDD
Short Ratio (4/15/2024) 4,2.84,PDD
Short % of Float (4/15/2024) 4,3.46%,PDD
Short % of Shares Outstanding (4/15/2024) 4,2.06%,PDD
Shares Short (prior month 3/15/2024) 4,23.77M,PDD
Avg Vol (3 month) 3,15.8M,GM
Avg Vol (10 day) 3,12.53M,GM
Shares Outstanding 5,1.14B,GM
Implied Shares Outstanding 6,1.14B,GM
Float 8,1.14B,GM
% Held by Insiders 1,0.33%,GM
% Held by Institutions 1,98.27%,GM
Shares Short (4/15/2024) 4,62.76M,GM
Short Ratio (4/15/2024) 4,3.62,GM
Short % of Float (4/15/2024) 4,6.28%,GM
Short % of Shares Outstanding (4/15/2024) 4,5.50%,GM
Shares Short (prior month 3/15/2024) 4,82.52M,GM
Avg Vol (3 month) 3,30.72M,AAL
Avg Vol (10 day) 3,33.77M,AAL
Shares Outstanding 5,656.09M,AAL
Implied Shares Outstanding 6,656.09M,AAL
Float 8,647.27M,AAL
% Held by Insiders 1,1.25%,AAL
% Held by Institutions 1,52.42%,AAL
Shares Short (4/15/2024) 4,51.72M,AAL
Short Ratio (4/15/2024) 4,1.79,AAL
Short % of Float (4/15/2024) 4,8.95%,AAL
Short % of Shares Outstanding (4/15/2024) 4,7.88%,AAL
Shares Short (prior month 3/15/2024) 4,45.56M,AAL
Avg Vol (3 month) 3,9.33M,LUV
Avg Vol (10 day) 3,14.94M,LUV
Shares Outstanding 5,598.46M,LUV
Implied Shares Outstanding 6,598.46M,LUV
Float 8,595.6M,LUV
% Held by Insiders 1,0.32%,LUV
% Held by Institutions 1,80.93%,LUV
Shares Short (4/15/2024) 4,19.42M,LUV
Short Ratio (4/15/2024) 4,2.41,LUV
Short % of Float (4/15/2024) 4,4.12%,LUV
Short % of Shares Outstanding (4/15/2024) 4,3.25%,LUV
Shares Short (prior month 3/15/2024) 4,17.69M,LUV
Avg Vol (3 month) 3,27.06k,BATRA
Avg Vol (10 day) 3,21.4k,BATRA
Shares Outstanding 5,10.32M,BATRA
Implied Shares Outstanding 6,58.43M,BATRA
Float 8,47.19M,BATRA
% Held by Insiders 1,2.77%,BATRA
% Held by Institutions 1,75.14%,BATRA
Shares Short (4/15/2024) 4,204.96k,BATRA
Short Ratio (4/15/2024) 4,7.44,BATRA
Short % of Float (4/15/2024) 4,2.58%,BATRA
Short % of Shares Outstanding (4/15/2024) 4,0.33%,BATRA
Shares Short (prior month 3/15/2024) 4,208.46k,BATRA
Avg Vol (3 month) 3,11.04M,DIS
Avg Vol (10 day) 3,12.77M,DIS
Shares Outstanding 5,1.82B,DIS
Implied Shares Outstanding 6,1.83B,DIS
Float 8,1.87B,DIS
% Held by Insiders 1,0.07%,DIS
% Held by Institutions 1,67.72%,DIS
Shares Short (4/15/2024) 4,20.06M,DIS
Short Ratio (4/15/2024) 4,1.78,DIS
Short % of Float (4/15/2024) 4,1.09%,DIS
Short % of Shares Outstanding (4/15/2024) 4,1.09%,DIS
Shares Short (prior month 3/15/2024) 4,18.65M,DIS
Avg Vol (3 month) 3,487.79k,COOP
Avg Vol (10 day) 3,480.55k,COOP
Shares Outstanding 5,64.72M,COOP
Implied Shares Outstanding 6,64.72M,COOP
Float 8,62.48M,COOP
% Held by Insiders 1,3.61%,COOP
% Held by Institutions 1,90.35%,COOP
Shares Short (4/15/2024) 4,1.65M,COOP
Short Ratio (4/15/2024) 4,3.59,COOP
Short % of Float (4/15/2024) 4,3.73%,COOP
Short % of Shares Outstanding (4/15/2024) 4,2.56%,COOP
Shares Short (prior month 3/15/2024) 4,1.53M,COOP
Avg Vol (3 month) 3,14.6M,BABA
Avg Vol (10 day) 3,16.14M,BABA
Shares Outstanding 5,2.43B,BABA
Implied Shares Outstanding 6,2.56B,BABA
Float 8,16.41B,BABA
% Held by Insiders 1,0.02%,BABA
% Held by Institutions 1,14.61%,BABA
Shares Short (4/15/2024) 4,40.76M,BABA
Short Ratio (4/15/2024) 4,3.05,BABA
Short % of Float (4/15/2024) 4,--,BABA
Short % of Shares Outstanding (4/15/2024) 4,1.68%,BABA
Shares Short (prior month 3/15/2024) 4,44.03M,BABA
Avg Vol (3 month) 3,2.38M,DHI
Avg Vol (10 day) 3,2.18M,DHI
Shares Outstanding 5,329.31M,DHI
Implied Shares Outstanding 6,329.31M,DHI
Float 8,320.02M,DHI
% Held by Insiders 1,9.97%,DHI
% Held by Institutions 1,85.16%,DHI
Shares Short (4/15/2024) 4,5.33M,DHI
Short Ratio (4/15/2024) 4,2.25,DHI
Short % of Float (4/15/2024) 4,2.03%,DHI
Short % of Shares Outstanding (4/15/2024) 4,1.61%,DHI
Shares Short (prior month 3/15/2024) 4,4.67M,DHI
Avg Vol (3 month) 3,21.83M,CMCSA
Avg Vol (10 day) 3,24.41M,CMCSA
Shares Outstanding 5,3.91B,CMCSA
Implied Shares Outstanding 6,3.92B,CMCSA
