0,1,stock
Beta (5Y Monthly),1.44,PYPL
52 Week Range 3,4.01%,PYPL
S&P 500 52-Week Change 3,25.38%,PYPL
52 Week High 3,76.54,PYPL
52 Week Low 3,50.25,PYPL
50-Day Moving Average 3,63.79,PYPL
200-Day Moving Average 3,61.09,PYPL
Beta (5Y Monthly),1.28,AAPL
52 Week Range 3,5.09%,AAPL
S&P 500 52-Week Change 3,25.38%,AAPL
52 Week High 3,199.62,AAPL
52 Week Low 3,164.08,AAPL
50-Day Moving Average 3,172.40,AAPL
200-Day Moving Average 3,181.08,AAPL
Beta (5Y Monthly),1.63,F
52 Week Range 3,2.35%,F
S&P 500 52-Week Change 3,25.38%,F
52 Week High 3,15.42,F
52 Week Low 3,9.63,F
50-Day Moving Average 3,12.63,F
200-Day Moving Average 3,11.98,F
Beta (5Y Monthly),1.43,DAL
52 Week Range 3,54.44%,DAL
S&P 500 52-Week Change 3,25.38%,DAL
52 Week High 3,53.00,DAL
52 Week Low 3,30.60,DAL
50-Day Moving Average 3,46.29,DAL
200-Day Moving Average 3,40.90,DAL
Beta (5Y Monthly),1.56,PHM
52 Week Range 3,72.49%,PHM
S&P 500 52-Week Change 3,25.38%,PHM
52 Week High 3,121.08,PHM
52 Week Low 3,65.16,PHM
50-Day Moving Average 3,112.45,PHM
200-Day Moving Average 3,94.25,PHM
Beta (5Y Monthly),0.68,PDD
52 Week Range 3,126.10%,PDD
S&P 500 52-Week Change 3,25.38%,PDD
52 Week High 3,152.99,PDD
52 Week Low 3,59.67,PDD
50-Day Moving Average 3,122.39,PDD
200-Day Moving Average 3,116.71,PDD
Beta (5Y Monthly),1.51,GM
52 Week Range 3,36.88%,GM
S&P 500 52-Week Change 3,25.38%,GM
52 Week High 3,46.17,GM
52 Week Low 3,26.30,GM
50-Day Moving Average 3,42.95,GM
200-Day Moving Average 3,35.97,GM
Beta (5Y Monthly),1.57,AAL
52 Week Range 3,-0.63%,AAL
S&P 500 52-Week Change 3,25.38%,AAL
52 Week High 3,19.08,AAL
52 Week Low 3,10.86,AAL
50-Day Moving Average 3,14.31,AAL
200-Day Moving Average 3,13.87,AAL
Beta (5Y Monthly),1.14,LUV
52 Week Range 3,-7.66%,LUV
S&P 500 52-Week Change 3,25.38%,LUV
52 Week High 3,39.53,LUV
52 Week Low 3,21.91,LUV
50-Day Moving Average 3,29.38,LUV
200-Day Moving Average 3,29.07,LUV
Beta (5Y Monthly),0.94,BATRA
52 Week Range 3,6.05%,BATRA
S&P 500 52-Week Change 3,25.38%,BATRA
52 Week High 3,54.94,BATRA
52 Week Low 3,36.78,BATRA
50-Day Moving Average 3,41.32,BATRA
200-Day Moving Average 3,41.48,BATRA
Beta (5Y Monthly),--,DIS
52 Week Range 3,4.20%,DIS
S&P 500 52-Week Change 3,25.38%,DIS
52 Week High 3,123.74,DIS
52 Week Low 3,78.73,DIS
50-Day Moving Average 3,114.33,DIS
200-Day Moving Average 3,95.82,DIS
Beta (5Y Monthly),1.42,COOP
52 Week Range 3,90.16%,COOP
S&P 500 52-Week Change 3,25.38%,COOP
52 Week High 3,82.83,COOP
52 Week Low 3,42.40,COOP
50-Day Moving Average 3,75.93,COOP
200-Day Moving Average 3,64.06,COOP
Beta (5Y Monthly),0.46,BABA
52 Week Range 3,-4.32%,BABA
S&P 500 52-Week Change 3,25.38%,BABA
52 Week High 3,102.50,BABA
52 Week Low 3,66.63,BABA
50-Day Moving Average 3,73.71,BABA
200-Day Moving Average 3,79.88,BABA
Beta (5Y Monthly),1.64,DHI
52 Week Range 3,39.19%,DHI
S&P 500 52-Week Change 3,25.38%,DHI
52 Week High 3,165.75,DHI
52 Week Low 3,100.08,DHI
50-Day Moving Average 3,151.93,DHI
200-Day Moving Average 3,133.79,DHI
Beta (5Y Monthly),0.97,CMCSA
52 Week Range 3,-3.44%,CMCSA
S&P 500 52-Week Change 3,25.38%,CMCSA
52 Week High 3,47.46,CMCSA
52 Week Low 3,36.43,CMCSA
50-Day Moving Average 3,41.09,CMCSA
200-Day Moving Average 3,43.13,CMCSA
Beta (5Y Monthly),1.54,UAL
52 Week Range 3,15.75%,UAL
S&P 500 52-Week Change 3,25.38%,UAL
52 Week High 3,58.23,UAL
52 Week Low 3,33.68,UAL
50-Day Moving Average 3,46.60,UAL
200-Day Moving Average 3,44.03,UAL
Beta (5Y Monthly),0.48,EDU
52 Week Range 3,105.69%,EDU
S&P 500 52-Week Change 3,25.38%,EDU
52 Week High 3,98.20,EDU
52 Week Low 3,35.70,EDU
50-Day Moving Average 3,87.91,EDU
200-Day Moving Average 3,72.57,EDU
Beta (5Y Monthly),0.64,TCEHY
52 Week Range 3,10.82%,TCEHY
S&P 500 52-Week Change 3,25.38%,TCEHY
52 Week High 3,47.69,TCEHY
52 Week Low 3,33.00,TCEHY
50-Day Moving Average 3,39.14,TCEHY
200-Day Moving Average 3,39.24,TCEHY
Beta (5Y Monthly),1.51,VFC
52 Week Range 3,-40.77%,VFC
S&P 500 52-Week Change 3,25.38%,VFC
52 Week High 3,22.63,VFC
52 Week Low 3,11.91,VFC
50-Day Moving Average 3,14.08,VFC
200-Day Moving Average 3,16.72,VFC
Beta (5Y Monthly),1.03,LI
52 Week Range 3,0.04%,LI
S&P 500 52-Week Change 3,25.38%,LI
52 Week High 3,47.33,LI
52 Week Low 3,23.04,LI
50-Day Moving Average 3,32.07,LI
200-Day Moving Average 3,35.12,LI
Beta (5Y Monthly),0.60,MPNGY
52 Week Range 3,-10.64%,MPNGY
S&P 500 52-Week Change 3,25.38%,MPNGY
52 Week High 3,38.19,MPNGY
52 Week Low 3,15.70,MPNGY
50-Day Moving Average 3,25.04,MPNGY
200-Day Moving Average 3,26.07,MPNGY
Beta (5Y Monthly),0.40,WB
52 Week Range 3,-36.60%,WB
S&P 500 52-Week Change 3,25.38%,WB
52 Week High 3,17.67,WB
52 Week Low 3,7.58,WB
50-Day Moving Average 3,8.91,WB
200-Day Moving Average 3,10.76,WB
Beta (5Y Monthly),0.58,BZ
52 Week Range 3,16.87%,BZ
S&P 500 52-Week Change 3,25.38%,BZ
52 Week High 3,21.32,BZ
52 Week Low 3,12.57,BZ
50-Day Moving Average 3,18.56,BZ
200-Day Moving Average 3,16.19,BZ
Beta (5Y Monthly),2.44,TSLA
52 Week Range 3,5.50%,TSLA
S&P 500 52-Week Change 3,25.38%,TSLA
52 Week High 3,299.29,TSLA
52 Week Low 3,138.80,TSLA
50-Day Moving Average 3,173.60,TSLA
200-Day Moving Average 3,218.72,TSLA
Beta (5Y Monthly),1.28,AAPL
52 Week Range 3,5.09%,AAPL
S&P 500 52-Week Change 3,25.38%,AAPL
52 Week High 3,199.62,AAPL
52 Week Low 3,164.08,AAPL
50-Day Moving Average 3,172.40,AAPL
200-Day Moving Average 3,181.08,AAPL
Beta (5Y Monthly),1.63,AMD
52 Week Range 3,59.17%,AMD
S&P 500 52-Week Change 3,25.38%,AMD
52 Week High 3,227.30,AMD
52 Week Low 3,93.12,AMD
50-Day Moving Average 3,174.48,AMD
200-Day Moving Average 3,138.30,AMD
Beta (5Y Monthly),2.53,RCL
52 Week Range 3,83.50%,RCL
S&P 500 52-Week Change 3,25.38%,RCL
52 Week High 3,143.93,RCL
52 Week Low 3,73.93,RCL
50-Day Moving Average 3,132.83,RCL
200-Day Moving Average 3,112.96,RCL
Beta (5Y Monthly),0.57,PFE
52 Week Range 3,-27.49%,PFE
S&P 500 52-Week Change 3,25.38%,PFE
52 Week High 3,40.37,PFE
52 Week Low 3,25.20,PFE
50-Day Moving Average 3,26.90,PFE
200-Day Moving Average 3,30.17,PFE
