metric,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,stock,2023-09-30 00:00:00,2022-09-30 00:00:00,2021-09-30 00:00:00,2020-09-30 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2023-05-31 00:00:00,2022-05-31 00:00:00,2021-05-31 00:00:00,2020-05-31 00:00:00
Tax Effect Of Unusual Items,61275000.0,-143591000.0,-4320000.0,301750000.0,PYPL,,,,,,,,,,,
Tax Rate For Calcs,0.215,0.281,0.27,0.17,PYPL,,,,,,,,,,,
Normalized EBITDA,6545000000.0,5498000000.0,5612000000.0,4688000000.0,PYPL,,,,,,,,,,,
Total Unusual Items,285000000.0,-511000000.0,-16000000.0,1775000000.0,PYPL,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,285000000.0,-511000000.0,-16000000.0,1775000000.0,PYPL,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,4246000000.0,2419000000.0,4169000000.0,4202000000.0,PYPL,,,,,,,,,,,
Reconciled Depreciation,1072000000.0,1317000000.0,1265000000.0,1189000000.0,PYPL,,,,,,,,,,,
Reconciled Cost Of Revenue,16067000000.0,13745000000.0,11375000000.0,9675000000.0,PYPL,,,,,,,,,,,
EBITDA,6830000000.0,4987000000.0,5596000000.0,6463000000.0,PYPL,,,,,,,,,,,
EBIT,5758000000.0,3670000000.0,4331000000.0,5274000000.0,PYPL,,,,,,,,,,,
Net Interest Income,133000000.0,-130000000.0,-175000000.0,-121000000.0,PYPL,,,,,,,,,,,
Interest Expense,347000000.0,304000000.0,232000000.0,209000000.0,PYPL,,,,,,,,,,,
Interest Income,480000000.0,174000000.0,57000000.0,88000000.0,PYPL,,,,,,,,,,,
Normalized Income,4022275000.0,2786409000.0,4180680000.0,2728750000.0,PYPL,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,4246000000.0,2419000000.0,4169000000.0,4202000000.0,PYPL,,,,,,,,,,,
Total Expenses,24827000000.0,23474000000.0,21047000000.0,18026000000.0,PYPL,,,,,,,,,,,
Total Operating Income As Reported,5028000000.0,3837000000.0,4262000000.0,3289000000.0,PYPL,,,,,,,,,,,
Diluted Average Shares,1107000000.0,1158000000.0,1186000000.0,1187000000.0,PYPL,,,,,,,,,,,
Basic Average Shares,1103000000.0,1154000000.0,1174000000.0,1173000000.0,PYPL,,,,,,,,,,,
Diluted EPS,3.84,2.09,3.52,3.54,PYPL,,,,,,,,,,,
Basic EPS,3.85,2.1,3.55,3.58,PYPL,,,,,,,,,,,
Diluted NI Availto Com Stockholders,4246000000.0,2419000000.0,4169000000.0,4202000000.0,PYPL,,,,,,,,,,,
Net Income Common Stockholders,4246000000.0,2419000000.0,4169000000.0,4202000000.0,PYPL,,,,,,,,,,,
Net Income,4246000000.0,2419000000.0,4169000000.0,4202000000.0,PYPL,,,,,,,,,,,
Net Income Including Noncontrolling Interests,4246000000.0,2419000000.0,4169000000.0,4202000000.0,PYPL,,,,,,,,,,,
Net Income Continuous Operations,4246000000.0,2419000000.0,4169000000.0,4202000000.0,PYPL,,,,,,,,,,,
Tax Provision,1165000000.0,947000000.0,-70000000.0,863000000.0,PYPL,,,,,,,,,,,
Pretax Income,5411000000.0,3366000000.0,4099000000.0,5065000000.0,PYPL,,,,,,,,,,,
Other Income Expense,334000000.0,-548000000.0,-50000000.0,1758000000.0,PYPL,,,,,,,,,,,
Other Non Operating Income Expenses,49000000.0,-37000000.0,-34000000.0,-17000000.0,PYPL,,,,,,,,,,,
Special Income Charges,84000000.0,-207000000.0,-62000000.0,-139000000.0,PYPL,,,,,,,,,,,
Restructuring And Mergern Acquisition,-84000000.0,207000000.0,62000000.0,139000000.0,PYPL,,,,,,,,,,,
Gain On Sale Of Security,201000000.0,-304000000.0,46000000.0,1914000000.0,PYPL,,,,,,,,,,,
Net Non Operating Interest Income Expense,133000000.0,-130000000.0,-175000000.0,-121000000.0,PYPL,,,,,,,,,,,
Interest Expense Non Operating,347000000.0,304000000.0,232000000.0,209000000.0,PYPL,,,,,,,,,,,
Interest Income Non Operating,480000000.0,174000000.0,57000000.0,88000000.0,PYPL,,,,,,,,,,,
Operating Income,4944000000.0,4044000000.0,4324000000.0,3428000000.0,PYPL,,,,,,,,,,,
Operating Expense,8760000000.0,9729000000.0,9672000000.0,8351000000.0,PYPL,,,,,,,,,,,
Other Operating Expenses,1919000000.0,2120000000.0,2075000000.0,1778000000.0,PYPL,,,,,,,,,,,
Research And Development,2973000000.0,3253000000.0,3038000000.0,2642000000.0,PYPL,,,,,,,,,,,
Selling General And Administration,3868000000.0,4356000000.0,4559000000.0,3931000000.0,PYPL,,,,,,,,,,,
Selling And Marketing Expense,1809000000.0,2257000000.0,2445000000.0,1861000000.0,PYPL,,,,,,,,,,,
General And Administrative Expense,2059000000.0,2099000000.0,2114000000.0,2070000000.0,PYPL,,,,,,,,,,,
Other Gand A,2059000000.0,2099000000.0,2114000000.0,2070000000.0,PYPL,,,,,,,,,,,
Gross Profit,13704000000.0,13773000000.0,13996000000.0,11779000000.0,PYPL,,,,,,,,,,,
Cost Of Revenue,16067000000.0,13745000000.0,11375000000.0,9675000000.0,PYPL,,,,,,,,,,,
Total Revenue,29771000000.0,27518000000.0,25371000000.0,21454000000.0,PYPL,,,,,,,,,,,
Operating Revenue,29771000000.0,27518000000.0,25371000000.0,21454000000.0,PYPL,,,,,,,,,,,
Tax Effect Of Unusual Items,,,,,AAPL,0.0,0.0,0.0,0.0,,,,,,,
Tax Rate For Calcs,,,,,AAPL,0.147,0.162,0.133,0.144,,,,,,,
Normalized EBITDA,,,,,AAPL,129188000000.0,133138000000.0,123136000000.0,81020000000.0,,,,,,,
Net Income From Continuing Operation Net Minority Interest,,,,,AAPL,96995000000.0,99803000000.0,94680000000.0,57411000000.0,,,,,,,
Reconciled Depreciation,,,,,AAPL,11519000000.0,11104000000.0,11284000000.0,11056000000.0,,,,,,,
Reconciled Cost Of Revenue,,,,,AAPL,214137000000.0,223546000000.0,212981000000.0,169559000000.0,,,,,,,
EBITDA,,,,,AAPL,129188000000.0,133138000000.0,123136000000.0,81020000000.0,,,,,,,
EBIT,,,,,AAPL,117669000000.0,122034000000.0,111852000000.0,69964000000.0,,,,,,,
Net Interest Income,,,,,AAPL,-183000000.0,-106000000.0,198000000.0,890000000.0,,,,,,,
Interest Expense,,,,,AAPL,3933000000.0,2931000000.0,2645000000.0,2873000000.0,,,,,,,
Interest Income,,,,,AAPL,3750000000.0,2825000000.0,2843000000.0,3763000000.0,,,,,,,
Normalized Income,,,,,AAPL,96995000000.0,99803000000.0,94680000000.0,57411000000.0,,,,,,,
Net Income From Continuing And Discontinued Operation,,,,,AAPL,96995000000.0,99803000000.0,94680000000.0,57411000000.0,,,,,,,
Total Expenses,,,,,AAPL,268984000000.0,274891000000.0,256868000000.0,208227000000.0,,,,,,,
Total Operating Income As Reported,,,,,AAPL,114301000000.0,119437000000.0,108949000000.0,66288000000.0,,,,,,,
Diluted Average Shares,,,,,AAPL,15812547000.0,16325819000.0,16864919000.0,17528214000.0,,,,,,,
Basic Average Shares,,,,,AAPL,15744231000.0,16215963000.0,16701272000.0,17352119000.0,,,,,,,
Diluted EPS,,,,,AAPL,6.13,6.11,5.61,3.28,,,,,,,
Basic EPS,,,,,AAPL,6.16,6.15,5.67,3.31,,,,,,,
Diluted NI Availto Com Stockholders,,,,,AAPL,96995000000.0,99803000000.0,94680000000.0,57411000000.0,,,,,,,
Net Income Common Stockholders,,,,,AAPL,96995000000.0,99803000000.0,94680000000.0,57411000000.0,,,,,,,
Net Income,,,,,AAPL,96995000000.0,99803000000.0,94680000000.0,57411000000.0,,,,,,,
Net Income Including Noncontrolling Interests,,,,,AAPL,96995000000.0,99803000000.0,94680000000.0,57411000000.0,,,,,,,
Net Income Continuous Operations,,,,,AAPL,96995000000.0,99803000000.0,94680000000.0,57411000000.0,,,,,,,
Tax Provision,,,,,AAPL,16741000000.0,19300000000.0,14527000000.0,9680000000.0,,,,,,,
