0,1,stock
Forward Annual Dividend Rate 4,,PYPL
Forward Annual Dividend Yield 4,,PYPL
Trailing Annual Dividend Rate 3,0.00,PYPL
Trailing Annual Dividend Yield 3,0.00%,PYPL
5 Year Average Dividend Yield 4,,PYPL
Payout Ratio 4,0.00%,PYPL
Dividend Date 3,,PYPL
Ex-Dividend Date 4,,PYPL
Last Split Factor 2,,PYPL
Last Split Date 3,,PYPL
Forward Annual Dividend Rate 4,0.96,AAPL
Forward Annual Dividend Yield 4,0.56%,AAPL
Trailing Annual Dividend Rate 3,0.95,AAPL
Trailing Annual Dividend Yield 3,0.56%,AAPL
5 Year Average Dividend Yield 4,0.74,AAPL
Payout Ratio 4,14.77%,AAPL
Dividend Date 3,"Feb 15, 2024",AAPL
Ex-Dividend Date 4,"Feb 09, 2024",AAPL
Last Split Factor 2,4:1,AAPL
Last Split Date 3,"Aug 31, 2020",AAPL
Forward Annual Dividend Rate 4,0.6,F
Forward Annual Dividend Yield 4,4.51%,F
Trailing Annual Dividend Rate 3,0.60,F
Trailing Annual Dividend Yield 3,4.51%,F
5 Year Average Dividend Yield 4,5.76,F
Payout Ratio 4,55.56%,F
Dividend Date 3,"Mar 01, 2024",F
Ex-Dividend Date 4,"Feb 15, 2024",F
Last Split Factor 2,1748175:1000000,F
Last Split Date 3,"Aug 03, 2000",F
Forward Annual Dividend Rate 4,0.4,DAL
Forward Annual Dividend Yield 4,0.83%,DAL
Trailing Annual Dividend Rate 3,0.30,DAL
Trailing Annual Dividend Yield 3,0.62%,DAL
5 Year Average Dividend Yield 4,2.30,DAL
Payout Ratio 4,2.79%,DAL
Dividend Date 3,"Mar 18, 2024",DAL
Ex-Dividend Date 4,"Feb 23, 2024",DAL
Last Split Factor 2,,DAL
Last Split Date 3,,DAL
Forward Annual Dividend Rate 4,0.8,PHM
Forward Annual Dividend Yield 4,0.68%,PHM
Trailing Annual Dividend Rate 3,0.68,PHM
Trailing Annual Dividend Yield 3,0.57%,PHM
5 Year Average Dividend Yield 4,1.12,PHM
Payout Ratio 4,5.80%,PHM
Dividend Date 3,"Apr 02, 2024",PHM
Ex-Dividend Date 4,"Mar 14, 2024",PHM
Last Split Factor 2,2:1,PHM
Last Split Date 3,"Sep 02, 2005",PHM
