0,1,stock
Return on Assets (ttm),3.77%,PYPL
Return on Equity (ttm),20.55%,PYPL
Return on Assets (ttm),21.18%,AAPL
Return on Equity (ttm),154.27%,AAPL
Return on Assets (ttm),1.27%,F
Return on Equity (ttm),10.07%,F
Return on Assets (ttm),5.22%,DAL
Return on Equity (ttm),52.12%,DAL
Return on Assets (ttm),13.87%,PHM
Return on Equity (ttm),26.97%,PHM
Return on Assets (ttm),12.54%,PDD
Return on Equity (ttm),39.36%,PDD
Return on Assets (ttm),2.24%,GM
Return on Equity (ttm),14.00%,GM
Return on Assets (ttm),3.96%,AAL
Return on Equity (ttm),,AAL
Return on Assets (ttm),7.32%,KBH
Return on Equity (ttm),15.92%,KBH
Return on Assets (ttm),1.53%,LUV
Return on Equity (ttm),4.39%,LUV
Return on Assets (ttm),-1.82%,BATRA
Return on Equity (ttm),-29.83%,BATRA
Return on Assets (ttm),3.22%,DIS
Return on Equity (ttm),3.90%,DIS
Return on Assets (ttm),3.06%,COOP
Return on Equity (ttm),11.99%,COOP
Return on Assets (ttm),4.43%,BABA
Return on Equity (ttm),8.21%,BABA
Return on Assets (ttm),12.16%,DHI
Return on Equity (ttm),21.66%,DHI
Return on Assets (ttm),5.58%,CMCSA
Return on Equity (ttm),18.25%,CMCSA
Return on Assets (ttm),4.78%,UAL
Return on Equity (ttm),32.28%,UAL
Return on Assets (ttm),-0.39%,CHGG
Return on Equity (ttm),1.76%,CHGG
Return on Assets (ttm),3.24%,EDU
Return on Equity (ttm),8.80%,EDU
Return on Assets (ttm),6.46%,TCEHY
Return on Equity (ttm),14.25%,TCEHY
Return on Assets (ttm),3.56%,VFC
Return on Equity (ttm),-28.20%,VFC
Return on Assets (ttm),4.02%,LI
Return on Equity (ttm),22.33%,LI
Return on Assets (ttm),2.09%,MPNGY
Return on Equity (ttm),9.88%,MPNGY
Return on Assets (ttm),4.10%,WB
Return on Equity (ttm),10.35%,WB
Return on Assets (ttm),0.07%,BZ
Return on Equity (ttm),4.51%,BZ
Return on Assets (ttm),5.88%,TSLA
Return on Equity (ttm),27.35%,TSLA
Return on Assets (ttm),21.18%,AAPL
Return on Equity (ttm),154.27%,AAPL
