0,1,stock
Profit Margin,14.26%,PYPL
Operating Margin (ttm),17.22%,PYPL
Profit Margin,26.16%,AAPL
Operating Margin (ttm),33.76%,AAPL
Profit Margin,2.47%,F
Operating Margin (ttm),-1.74%,F
Profit Margin,7.94%,DAL
Operating Margin (ttm),14.99%,DAL
Profit Margin,16.20%,PHM
Operating Margin (ttm),22.36%,PHM
Profit Margin,24.24%,PDD
Operating Margin (ttm),25.20%,PDD
Profit Margin,5.89%,GM
Operating Margin (ttm),2.03%,GM
Profit Margin,1.56%,AAL
Operating Margin (ttm),5.15%,AAL
Profit Margin,9.29%,KBH
Operating Margin (ttm),11.62%,KBH
Profit Margin,1.78%,LUV
Operating Margin (ttm),3.50%,LUV
Profit Margin,-19.56%,BATRA
Operating Margin (ttm),-44.51%,BATRA
Profit Margin,3.36%,DIS
Operating Margin (ttm),12.89%,DIS
Profit Margin,27.87%,COOP
Operating Margin (ttm),20.30%,COOP
Profit Margin,10.81%,BABA
Operating Margin (ttm),11.91%,BABA
Profit Margin,13.18%,DHI
Operating Margin (ttm),15.56%,DHI
Profit Margin,12.66%,CMCSA
Operating Margin (ttm),14.35%,CMCSA
Profit Margin,4.87%,UAL
Operating Margin (ttm),7.91%,UAL
Profit Margin,2.54%,CHGG
Operating Margin (ttm),27.41%,CHGG
Profit Margin,8.54%,EDU
Operating Margin (ttm),2.45%,EDU
Profit Margin,18.92%,TCEHY
Operating Margin (ttm),26.68%,TCEHY
Profit Margin,-7.07%,VFC
Operating Margin (ttm),9.32%,VFC
Profit Margin,9.45%,LI
Operating Margin (ttm),7.28%,LI
Profit Margin,5.01%,MPNGY
Operating Margin (ttm),-0.30%,MPNGY
Profit Margin,19.47%,WB
Operating Margin (ttm),25.67%,WB
Profit Margin,10.69%,BZ
Operating Margin (ttm),14.06%,BZ
Profit Margin,15.50%,TSLA
Operating Margin (ttm),8.20%,TSLA
Profit Margin,26.16%,AAPL
Operating Margin (ttm),33.76%,AAPL
