0,1,stock
Avg Vol (3 month) 3,18.23M,PYPL
Avg Vol (10 day) 3,11.18M,PYPL
Shares Outstanding 5,1.07B,PYPL
Implied Shares Outstanding 6,1.07B,PYPL
Float 8,1.07B,PYPL
% Held by Insiders 1,0.21%,PYPL
% Held by Institutions 1,72.70%,PYPL
"Shares Short (Mar 15, 2024) 4",22.95M,PYPL
"Short Ratio (Mar 15, 2024) 4",1.49,PYPL
"Short % of Float (Mar 15, 2024) 4",2.14%,PYPL
"Short % of Shares Outstanding (Mar 15, 2024) 4",2.14%,PYPL
"Shares Short (prior month Feb 15, 2024) 4",21.28M,PYPL
Avg Vol (3 month) 3,61.28M,AAPL
Avg Vol (10 day) 3,62.43M,AAPL
Shares Outstanding 5,15.44B,AAPL
Implied Shares Outstanding 6,15.62B,AAPL
Float 8,15.41B,AAPL
% Held by Insiders 1,5.94%,AAPL
% Held by Institutions 1,56.69%,AAPL
"Shares Short (Mar 15, 2024) 4",110.86M,AAPL
"Short Ratio (Mar 15, 2024) 4",1.64,AAPL
"Short % of Float (Mar 15, 2024) 4",0.72%,AAPL
"Short % of Shares Outstanding (Mar 15, 2024) 4",0.72%,AAPL
"Shares Short (prior month Feb 15, 2024) 4",97.67M,AAPL
Avg Vol (3 month) 3,54.49M,F
Avg Vol (10 day) 3,49.64M,F
Shares Outstanding 5,3.9B,F
Implied Shares Outstanding 6,3.97B,F
Float 8,3.89B,F
% Held by Insiders 1,0.29%,F
% Held by Institutions 1,56.57%,F
"Shares Short (Mar 15, 2024) 4",144.76M,F
"Short Ratio (Mar 15, 2024) 4",3.02,F
"Short % of Float (Mar 15, 2024) 4",4.03%,F
"Short % of Shares Outstanding (Mar 15, 2024) 4",3.64%,F
"Shares Short (prior month Feb 15, 2024) 4",156.58M,F
Avg Vol (3 month) 3,10.33M,DAL
Avg Vol (10 day) 3,9.47M,DAL
Shares Outstanding 5,643.32M,DAL
Implied Shares Outstanding 6,643.32M,DAL
Float 8,635.81M,DAL
