0,1,stock
Beta (5Y Monthly),1.44,PYPL
52 Week Range 3,-0.45%,PYPL
S&P 500 52-Week Change 3,25.77%,PYPL
52 Week High 3,76.54,PYPL
52 Week Low 3,50.25,PYPL
50-Day Moving Average 3,63.66,PYPL
200-Day Moving Average 3,61.13,PYPL
Beta (5Y Monthly),1.28,AAPL
52 Week Range 3,5.79%,AAPL
S&P 500 52-Week Change 3,25.77%,AAPL
52 Week High 3,199.62,AAPL
52 Week Low 3,164.08,AAPL
50-Day Moving Average 3,172.37,AAPL
200-Day Moving Average 3,181.13,AAPL
Beta (5Y Monthly),1.63,F
52 Week Range 3,5.40%,F
S&P 500 52-Week Change 3,25.77%,F
52 Week High 3,15.42,F
52 Week Low 3,9.63,F
50-Day Moving Average 3,12.62,F
200-Day Moving Average 3,11.99,F
Beta (5Y Monthly),1.43,DAL
52 Week Range 3,54.77%,DAL
S&P 500 52-Week Change 3,25.77%,DAL
52 Week High 3,53.00,DAL
52 Week Low 3,30.60,DAL
50-Day Moving Average 3,46.08,DAL
200-Day Moving Average 3,40.88,DAL
Beta (5Y Monthly),1.56,PHM
52 Week Range 3,73.70%,PHM
S&P 500 52-Week Change 3,25.77%,PHM
52 Week High 3,121.08,PHM
52 Week Low 3,65.16,PHM
50-Day Moving Average 3,112.23,PHM
200-Day Moving Average 3,94.06,PHM
Beta (5Y Monthly),0.68,PDD
52 Week Range 3,125.76%,PDD
S&P 500 52-Week Change 3,25.77%,PDD
52 Week High 3,152.99,PDD
52 Week Low 3,59.67,PDD
50-Day Moving Average 3,122.17,PDD
200-Day Moving Average 3,116.40,PDD
Beta (5Y Monthly),1.51,GM
52 Week Range 3,35.40%,GM
S&P 500 52-Week Change 3,25.77%,GM
52 Week High 3,46.17,GM
52 Week Low 3,26.30,GM
50-Day Moving Average 3,42.84,GM
200-Day Moving Average 3,35.93,GM
Beta (5Y Monthly),1.57,AAL
52 Week Range 3,1.24%,AAL
S&P 500 52-Week Change 3,25.77%,AAL
52 Week High 3,19.08,AAL
52 Week Low 3,10.86,AAL
50-Day Moving Average 3,14.33,AAL
200-Day Moving Average 3,13.89,AAL
Beta (5Y Monthly),1.14,LUV
52 Week Range 3,-7.46%,LUV
S&P 500 52-Week Change 3,25.77%,LUV
52 Week High 3,39.53,LUV
52 Week Low 3,21.91,LUV
50-Day Moving Average 3,29.52,LUV
200-Day Moving Average 3,29.12,LUV
Beta (5Y Monthly),0.94,BATRA
52 Week Range 3,7.33%,BATRA
S&P 500 52-Week Change 3,25.77%,BATRA
52 Week High 3,54.94,BATRA
52 Week Low 3,36.78,BATRA
50-Day Moving Average 3,41.33,BATRA
200-Day Moving Average 3,41.49,BATRA
Beta (5Y Monthly),1.39,DIS
52 Week Range 3,13.99%,DIS
S&P 500 52-Week Change 3,25.77%,DIS
52 Week High 3,123.74,DIS
52 Week Low 3,78.73,DIS
50-Day Moving Average 3,114.37,DIS
200-Day Moving Average 3,95.73,DIS
Beta (5Y Monthly),1.42,COOP
52 Week Range 3,91.72%,COOP
S&P 500 52-Week Change 3,25.77%,COOP
52 Week High 3,82.82,COOP
52 Week Low 3,42.07,COOP
50-Day Moving Average 3,75.73,COOP
200-Day Moving Average 3,63.93,COOP
Beta (5Y Monthly),0.46,BABA
52 Week Range 3,-0.81%,BABA
S&P 500 52-Week Change 3,25.77%,BABA
52 Week High 3,102.50,BABA
52 Week Low 3,66.63,BABA
50-Day Moving Average 3,73.65,BABA
200-Day Moving Average 3,79.95,BABA
Beta (5Y Monthly),1.64,DHI
52 Week Range 3,38.78%,DHI
S&P 500 52-Week Change 3,25.77%,DHI
52 Week High 3,165.75,DHI
52 Week Low 3,100.08,DHI
50-Day Moving Average 3,151.82,DHI
200-Day Moving Average 3,133.67,DHI
Beta (5Y Monthly),0.97,CMCSA
52 Week Range 3,-2.85%,CMCSA
S&P 500 52-Week Change 3,25.77%,CMCSA
52 Week High 3,47.46,CMCSA
52 Week Low 3,36.43,CMCSA
50-Day Moving Average 3,41.16,CMCSA
200-Day Moving Average 3,43.16,CMCSA
Beta (5Y Monthly),1.54,UAL
52 Week Range 3,16.42%,UAL
S&P 500 52-Week Change 3,25.77%,UAL
52 Week High 3,58.23,UAL
52 Week Low 3,33.68,UAL
50-Day Moving Average 3,46.45,UAL
200-Day Moving Average 3,44.06,UAL
Beta (5Y Monthly),0.48,EDU
52 Week Range 3,112.90%,EDU
S&P 500 52-Week Change 3,25.77%,EDU
52 Week High 3,98.20,EDU
52 Week Low 3,35.70,EDU
50-Day Moving Average 3,88.12,EDU
200-Day Moving Average 3,72.40,EDU
Beta (5Y Monthly),0.64,TCEHY
52 Week Range 3,13.26%,TCEHY
S&P 500 52-Week Change 3,25.77%,TCEHY
52 Week High 3,47.69,TCEHY
52 Week Low 3,33.00,TCEHY
50-Day Moving Average 3,38.93,TCEHY
200-Day Moving Average 3,39.22,TCEHY
Beta (5Y Monthly),1.51,VFC
52 Week Range 3,-41.98%,VFC
S&P 500 52-Week Change 3,25.77%,VFC
52 Week High 3,22.63,VFC
52 Week Low 3,11.91,VFC
50-Day Moving Average 3,14.13,VFC
200-Day Moving Average 3,16.75,VFC
Beta (5Y Monthly),1.03,LI
52 Week Range 3,17.88%,LI
S&P 500 52-Week Change 3,25.77%,LI
52 Week High 3,47.33,LI
52 Week Low 3,23.04,LI
50-Day Moving Average 3,32.33,LI
200-Day Moving Average 3,35.17,LI
Beta (5Y Monthly),0.60,MPNGY
52 Week Range 3,-7.98%,MPNGY
S&P 500 52-Week Change 3,25.77%,MPNGY
52 Week High 3,38.19,MPNGY
52 Week Low 3,15.70,MPNGY
50-Day Moving Average 3,24.87,MPNGY
200-Day Moving Average 3,26.08,MPNGY
Beta (5Y Monthly),0.40,WB
52 Week Range 3,-36.24%,WB
S&P 500 52-Week Change 3,25.77%,WB
52 Week High 3,17.67,WB
52 Week Low 3,7.58,WB
50-Day Moving Average 3,8.90,WB
200-Day Moving Average 3,10.78,WB
Beta (5Y Monthly),0.58,BZ
52 Week Range 3,13.25%,BZ
S&P 500 52-Week Change 3,25.77%,BZ
52 Week High 3,21.32,BZ
52 Week Low 3,12.57,BZ
50-Day Moving Average 3,18.46,BZ
200-Day Moving Average 3,16.17,BZ
Beta (5Y Monthly),2.44,TSLA
52 Week Range 3,9.23%,TSLA
S&P 500 52-Week Change 3,25.77%,TSLA
52 Week High 3,299.29,TSLA
52 Week Low 3,138.80,TSLA
50-Day Moving Average 3,174.03,TSLA
200-Day Moving Average 3,219.13,TSLA
Beta (5Y Monthly),1.28,AAPL
52 Week Range 3,5.79%,AAPL
S&P 500 52-Week Change 3,25.77%,AAPL
52 Week High 3,199.62,AAPL
52 Week Low 3,164.08,AAPL
50-Day Moving Average 3,172.37,AAPL
200-Day Moving Average 3,181.13,AAPL
Beta (5Y Monthly),1.63,AMD
52 Week Range 3,63.88%,AMD
S&P 500 52-Week Change 3,25.77%,AMD
52 Week High 3,227.30,AMD
52 Week Low 3,93.12,AMD
50-Day Moving Average 3,174.92,AMD
200-Day Moving Average 3,138.08,AMD
Beta (5Y Monthly),2.53,RCL
52 Week Range 3,86.14%,RCL
S&P 500 52-Week Change 3,25.77%,RCL
52 Week High 3,143.93,RCL
52 Week Low 3,73.93,RCL
50-Day Moving Average 3,132.39,RCL
200-Day Moving Average 3,112.76,RCL
Beta (5Y Monthly),0.57,PFE
52 Week Range 3,-26.82%,PFE
S&P 500 52-Week Change 3,25.77%,PFE
52 Week High 3,40.37,PFE
52 Week Low 3,25.20,PFE
50-Day Moving Average 3,26.89,PFE
200-Day Moving Average 3,30.22,PFE
