Unnamed: 0,As of Date: 4/2/2024Current,12/31/2023,9/30/2023,6/30/2023,3/31/2023,stock,11/30/2023,8/31/2023,5/31/2023,2/28/2023
Market Cap (intraday),2.62T,2.99T,2.68T,3.05T,2.61T,AAPL,,,,
Enterprise Value,2.66T,3.04T,2.72T,3.10T,2.67T,AAPL,,,,
Trailing P/E,26.43,31.41,28.73,32.88,28.00,AAPL,,,,
Forward P/E,26.04,29.15,25.77,29.41,27.86,AAPL,,,,
PEG Ratio (5 yr expected),2.09,2.31,2.18,2.66,2.79,AAPL,,,,
Price/Sales (ttm),6.93,7.94,7.10,8.08,6.89,AAPL,,,,
Price/Book (mrq),35.41,47.90,44.17,49.08,45.99,AAPL,,,,
Enterprise Value/Revenue,6.89,25.46,30.43,37.96,28.14,AAPL,,,,
Enterprise Value/EBITDA,19.92,70.43,88.85,115.92,82.86,AAPL,,,,
Market Cap (intraday),557.72B,789.90B,794.20B,830.86B,657.44B,TSLA,,,,
Enterprise Value,538.20B,772.01B,776.93B,814.03B,641.00B,TSLA,,,,
Trailing P/E,40.73,80.15,71.29,76.99,57.31,TSLA,,,,
Forward P/E,56.50,70.92,55.25,76.34,54.05,TSLA,,,,
PEG Ratio (5 yr expected),2.07,2.91,2.13,2.89,1.89,TSLA,,,,
Price/Sales (ttm),6.31,9.02,9.25,10.57,8.85,TSLA,,,,
Price/Book (mrq),8.90,14.80,15.56,17.29,14.71,TSLA,,,,
Enterprise Value/Revenue,5.56,30.68,33.27,32.66,27.48,TSLA,,,,
Enterprise Value/EBITDA,36.37,221.59,234.16,197.63,165.42,TSLA,,,,
Market Cap (intraday),8.02B,,6.44B,6.34B,8.24B,BZ,,,,
Enterprise Value,6.28B,,4.73B,4.53B,6.37B,BZ,,,,
Trailing P/E,100.83,,135.09,321.09,545.68,BZ,,,,
Forward P/E,5.73,,19.92,6.98,9.37,BZ,,,,
PEG Ratio (5 yr expected),0.19,,0.22,,,BZ,,,,
Price/Sales (ttm),10.83,,9.98,10.82,13.24,BZ,,,,
Price/Book (mrq),4.28,,3.77,4.04,4.89,BZ,,,,
Enterprise Value/Revenue,1.15,,2.94,3.04,4.98,BZ,,,,
Enterprise Value/EBITDA,344.65,,18.12,25.86,-82.36,BZ,,,,
Market Cap (intraday),2.29B,,3.01B,3.08B,5.18B,WB,,,,
Enterprise Value,1.95B,,2.61B,2.73B,4.44B,WB,,,,
Trailing P/E,5.57,,9.65,12.25,55.72,WB,,,,
Forward P/E,4.93,,5.05,5.69,8.39,WB,,,,
PEG Ratio (5 yr expected),0.82,,0.50,0.47,,WB,,,,
Price/Sales (ttm),1.29,,1.70,1.76,2.58,WB,,,,
Price/Book (mrq),0.71,,0.95,0.91,1.42,WB,,,,
Enterprise Value/Revenue,1.12,,5.89,6.19,10.72,WB,,,,
Enterprise Value/EBITDA,8.74,,19.45,22.08,45.97,WB,,,,
Market Cap (intraday),77.12B,,91.37B,97.39B,114.09B,MPNGY,,,,
Enterprise Value,65.41B,,82.99B,89.98B,107.97B,MPNGY,,,,
Trailing P/E,42.56,,85.78,307.55,,MPNGY,,,,
Forward P/E,18.08,,18.18,35.59,51.81,MPNGY,,,,
PEG Ratio (5 yr expected),0.40,,0.39,,,MPNGY,,,,
Price/Sales (ttm),2.04,,2.64,3.06,3.91,MPNGY,,,,
Price/Book (mrq),3.68,,4.64,5.30,6.29,MPNGY,,,,
Enterprise Value/Revenue,0.24,,1.09,1.32,1.84,MPNGY,,,,
Enterprise Value/EBITDA,4.23,,20.78,17.81,29.02,MPNGY,,,,
