0,1,stock
Total Cash (mrq),24.9B,F
Total Cash Per Share (mrq),6.24,F
Total Debt (mrq),151.42B,F
Total Debt/Equity (mrq),352.99%,F
Current Ratio (mrq),1.17,F
Book Value Per Share (mrq),10.74,F
Total Cash (mrq),13.99B,UAL
Total Cash Per Share (mrq),42.55,UAL
Total Debt (mrq),34.84B,UAL
Total Debt/Equity (mrq),379.23%,UAL
Current Ratio (mrq),0.75,UAL
Book Value Per Share (mrq),27.94,UAL
Total Cash (mrq),20.48B,GM
Total Cash Per Share (mrq),17.95,GM
Total Debt (mrq),124.62B,GM
Total Debt/Equity (mrq),176.52%,GM
Current Ratio (mrq),1.16,GM
Book Value Per Share (mrq),60.54,GM
Total Cash (mrq),4.47B,DAL
Total Cash Per Share (mrq),6.97,DAL
Total Debt (mrq),27.41B,DAL
Total Debt/Equity (mrq),245.80%,DAL
Current Ratio (mrq),0.41,DAL
Book Value Per Share (mrq),17.39,DAL
Total Cash (mrq),102M,APA
Total Cash Per Share (mrq),0.28,APA
Total Debt (mrq),5.3B,APA
Total Debt/Equity (mrq),145.06%,APA
Current Ratio (mrq),1.16,APA
Book Value Per Share (mrq),8.66,APA
Total Cash (mrq),126.23M,LAUR
Total Cash Per Share (mrq),0.81,LAUR
Total Debt (mrq),628.03M,LAUR
Total Debt/Equity (mrq),67.34%,LAUR
Current Ratio (mrq),0.55,LAUR
Book Value Per Share (mrq),6.02,LAUR
Total Cash (mrq),1.89B,HAL
Total Cash Per Share (mrq),2.14,HAL
Total Debt (mrq),8.79B,HAL
Total Debt/Equity (mrq),90.76%,HAL
Current Ratio (mrq),2.12,HAL
Book Value Per Share (mrq),10.89,HAL
Total Cash (mrq),13.09B,CVS
Total Cash Per Share (mrq),10.43,CVS
Total Debt (mrq),81.79B,CVS
Total Debt/Equity (mrq),110.31%,CVS
Current Ratio (mrq),0.81,CVS
Book Value Per Share (mrq),59.08,CVS
Total Cash (mrq),920.87M,MTCH
Total Cash Per Share (mrq),3.47,MTCH
Total Debt (mrq),3.95B,MTCH
Total Debt/Equity (mrq),--,MTCH
Current Ratio (mrq),2.41,MTCH
Book Value Per Share (mrq),-0.41,MTCH
Total Cash (mrq),14.32B,PYPL
Total Cash Per Share (mrq),13.69,PYPL
Total Debt (mrq),11.64B,PYPL
Total Debt/Equity (mrq),56.24%,PYPL
Current Ratio (mrq),1.28,PYPL
Book Value Per Share (mrq),19.66,PYPL
Total Cash (mrq),188.99B,BRK-B
Total Cash Per Share (mrq),131537.44,BRK-B
Total Debt (mrq),122.75B,BRK-B
Total Debt/Equity (mrq),21.25%,BRK-B
Current Ratio (mrq),1.80,BRK-B
Book Value Per Share (mrq),397506.28,BRK-B
Total Cash (mrq),250.33M,DOLE
