0,1,stock
Forward Annual Dividend Rate 4,0.6,F
Forward Annual Dividend Yield 4,4.94%,F
Trailing Annual Dividend Rate 3,0.60,F
Trailing Annual Dividend Yield 3,4.94%,F
5 Year Average Dividend Yield 4,5.76,F
Payout Ratio 4,61.86%,F
Dividend Date 3,6/3/2024,F
Ex-Dividend Date 4,5/7/2024,F
Last Split Factor 2,1748175:1000000,F
Last Split Date 3,8/3/2000,F
Forward Annual Dividend Rate 4,--,UAL
Forward Annual Dividend Yield 4,--,UAL
Trailing Annual Dividend Rate 3,0.00,UAL
Trailing Annual Dividend Yield 3,0.00%,UAL
5 Year Average Dividend Yield 4,--,UAL
Payout Ratio 4,0.00%,UAL
Dividend Date 3,1/23/2008,UAL
Ex-Dividend Date 4,1/7/2008,UAL
Last Split Factor 2,--,UAL
Last Split Date 3,--,UAL
Forward Annual Dividend Rate 4,0.48,GM
Forward Annual Dividend Yield 4,1.06%,GM
Trailing Annual Dividend Rate 3,0.39,GM
Trailing Annual Dividend Yield 3,0.86%,GM
5 Year Average Dividend Yield 4,4.06,GM
Payout Ratio 4,4.76%,GM
Dividend Date 3,6/20/2024,GM
Ex-Dividend Date 4,6/7/2024,GM
Last Split Factor 2,--,GM
Last Split Date 3,--,GM
Forward Annual Dividend Rate 4,0.4,DAL
Forward Annual Dividend Yield 4,0.75%,DAL
Trailing Annual Dividend Rate 3,0.40,DAL
Trailing Annual Dividend Yield 3,0.75%,DAL
5 Year Average Dividend Yield 4,2.30,DAL
Payout Ratio 4,3.85%,DAL
Dividend Date 3,6/4/2024,DAL
Ex-Dividend Date 4,5/13/2024,DAL
Last Split Factor 2,--,DAL
Last Split Date 3,--,DAL
Forward Annual Dividend Rate 4,1,APA
Forward Annual Dividend Yield 4,3.24%,APA
Trailing Annual Dividend Rate 3,1.00,APA
Trailing Annual Dividend Yield 3,3.24%,APA
5 Year Average Dividend Yield 4,2.75,APA
Payout Ratio 4,11.22%,APA
Dividend Date 3,5/22/2024,APA
Ex-Dividend Date 4,4/19/2024,APA
Last Split Factor 2,2:1,APA
Last Split Date 3,1/15/2004,APA
Forward Annual Dividend Rate 4,--,LAUR
Forward Annual Dividend Yield 4,--,LAUR
Trailing Annual Dividend Rate 3,0.00,LAUR
Trailing Annual Dividend Yield 3,0.00%,LAUR
5 Year Average Dividend Yield 4,--,LAUR
Payout Ratio 4,0.00%,LAUR
Dividend Date 3,11/30/2023,LAUR
Ex-Dividend Date 4,11/14/2023,LAUR
Last Split Factor 2,--,LAUR
Last Split Date 3,--,LAUR
Forward Annual Dividend Rate 4,0.68,HAL
Forward Annual Dividend Yield 4,1.79%,HAL
Trailing Annual Dividend Rate 3,0.65,HAL
Trailing Annual Dividend Yield 3,1.71%,HAL
5 Year Average Dividend Yield 4,2.19,HAL
Payout Ratio 4,22.57%,HAL
Dividend Date 3,6/26/2024,HAL
Ex-Dividend Date 4,6/5/2024,HAL
Last Split Factor 2,2:1,HAL
Last Split Date 3,7/17/2006,HAL
Forward Annual Dividend Rate 4,2.66,CVS
Forward Annual Dividend Yield 4,4.63%,CVS
Trailing Annual Dividend Rate 3,2.48,CVS
Trailing Annual Dividend Yield 3,4.32%,CVS
5 Year Average Dividend Yield 4,2.86,CVS
Payout Ratio 4,43.51%,CVS
Dividend Date 3,5/1/2024,CVS
Ex-Dividend Date 4,4/19/2024,CVS
Last Split Factor 2,2:1,CVS
