0,1,stock
Return on Assets (ttm),1.12%,F
Return on Equity (ttm),9.40%,F
Return on Assets (ttm),4.77%,UAL
Return on Equity (ttm),33.90%,UAL
Return on Assets (ttm),2.47%,GM
Return on Equity (ttm),14.43%,GM
Return on Assets (ttm),5.17%,DAL
Return on Equity (ttm),57.54%,DAL
Return on Assets (ttm),13.98%,APA
Return on Equity (ttm),121.63%,APA
Return on Assets (ttm),9.87%,LAUR
Return on Equity (ttm),15.16%,LAUR
Return on Assets (ttm),10.60%,HAL
Return on Equity (ttm),28.86%,HAL
Return on Assets (ttm),3.18%,CVS
Return on Equity (ttm),10.09%,CVS
Return on Assets (ttm),13.12%,MTCH
Return on Equity (ttm),--,MTCH
Return on Assets (ttm),3.95%,PYPL
Return on Equity (ttm),21.40%,PYPL
Return on Assets (ttm),5.71%,BRK-B
Return on Equity (ttm),13.57%,BRK-B
Return on Assets (ttm),3.24%,DOLE
Return on Equity (ttm),15.38%,DOLE
Return on Assets (ttm),5.09%,FDX
Return on Equity (ttm),17.20%,FDX
Return on Assets (ttm),4.29%,NOV
Return on Equity (ttm),16.87%,NOV
Return on Assets (ttm),7.78%,CIG
Return on Equity (ttm),22.90%,CIG
Return on Assets (ttm),6.79%,TGT
Return on Equity (ttm),33.56%,TGT
Return on Assets (ttm),2.13%,IBN
Return on Equity (ttm),18.76%,IBN
Return on Assets (ttm),6.81%,FOXA
Return on Equity (ttm),14.99%,FOXA
Return on Assets (ttm),6.22%,URBN
Return on Equity (ttm),14.73%,URBN
Return on Assets (ttm),2.61%,SLM
Return on Equity (ttm),38.21%,SLM
Return on Assets (ttm),4.35%,ACGL
Return on Equity (ttm),29.05%,ACGL
Return on Assets (ttm),1.13%,BBVA
Return on Equity (ttm),16.28%,BBVA
Return on Assets (ttm),3.67%,CNC
Return on Equity (ttm),10.44%,CNC
Return on Assets (ttm),8.30%,EURN
Return on Equity (ttm),55.08%,EURN
Return on Assets (ttm),2.93%,HIG
Return on Equity (ttm),18.26%,HIG
Return on Assets (ttm),5.16%,ARCC
Return on Equity (ttm),15.45%,ARCC
Return on Assets (ttm),9.67%,CHX
Return on Equity (ttm),21.91%,CHX
Return on Assets (ttm),2.58%,JKS
Return on Equity (ttm),18.93%,JKS
Return on Assets (ttm),0.40%,MUFG
Return on Equity (ttm),8.45%,MUFG
Return on Assets (ttm),5.75%,PLYA
Return on Equity (ttm),10.40%,PLYA
Return on Assets (ttm),12.43%,GNTX
Return on Equity (ttm),19.51%,GNTX
Return on Assets (ttm),11.37%,TEX
Return on Equity (ttm),34.05%,TEX
Return on Assets (ttm),5.38%,APTV
Return on Equity (ttm),29.25%,APTV
Return on Assets (ttm),7.64%,PUMP
Return on Equity (ttm),7.76%,PUMP
Return on Assets (ttm),11.35%,YALA
Return on Equity (ttm),23.36%,YALA
Return on Assets (ttm),0.25%,PRU
Return on Equity (ttm),7.05%,PRU
Return on Assets (ttm),0.51%,VOYA
Return on Equity (ttm),15.37%,VOYA
Return on Assets (ttm),6.10%,GDDY
Return on Equity (ttm),"5,833.73%",GDDY
Return on Assets (ttm),0.25%,YY
Return on Equity (ttm),5.94%,YY
Return on Assets (ttm),8.99%,MOMO
Return on Equity (ttm),17.03%,MOMO
Return on Assets (ttm),5.09%,PVH
Return on Equity (ttm),13.10%,PVH
Return on Assets (ttm),7.39%,UGP
Return on Equity (ttm),20.19%,UGP
Return on Assets (ttm),6.89%,INCY
Return on Equity (ttm),15.13%,INCY
Return on Assets (ttm),2.93%,CB
Return on Equity (ttm),16.04%,CB
Return on Assets (ttm),8.48%,FRO
Return on Equity (ttm),28.93%,FRO
Return on Assets (ttm),4.80%,SEM
Return on Equity (ttm),21.27%,SEM
Return on Assets (ttm),5.35%,GBDC
Return on Equity (ttm),13.49%,GBDC
Return on Assets (ttm),3.47%,CAKE
Return on Equity (ttm),33.69%,CAKE
Return on Assets (ttm),2.51%,BNL
Return on Equity (ttm),5.89%,BNL
Return on Assets (ttm),1.09%,AIRC
Return on Equity (ttm),28.61%,AIRC
