metric,2024-03-31 00:00:00,2023-12-31 00:00:00,2023-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,stock,2024-02-29 00:00:00,2023-11-30 00:00:00,2023-08-31 00:00:00,2023-05-31 00:00:00,2023-02-28 00:00:00,2022-11-30 00:00:00,2022-08-31 00:00:00,2024-01-31 00:00:00,2023-10-31 00:00:00,2023-07-31 00:00:00,2023-04-30 00:00:00,2023-01-31 00:00:00,2022-10-31 00:00:00
Free Cash Flow,-709000000.0,197000000.0,2379000000.0,3086000000.0,1020000000.0,,,F,,,,,,,,,,,,,
Repurchase Of Capital Stock,0.0,-335000000.0,0.0,0.0,0.0,,,F,,,,,,,,,,,,,
Repayment Of Debt,-14225000000.0,-10146000000.0,-9606000000.0,-9971000000.0,-12242000000.0,,,F,,,,,,,,,,,,,
Issuance Of Debt,16488000000.0,15077000000.0,10181000000.0,12489000000.0,13912000000.0,,,F,,,,,,,,,,,,,
Capital Expenditure,-2094000000.0,-2295000000.0,-2212000000.0,-1949000000.0,-1780000000.0,,,F,,,,,,,,,,,,,
End Cash Position,19986000000.0,25110000000.0,26634000000.0,26623000000.0,22359000000.0,,,F,,,,,,,,,,,,,
Beginning Cash Position,25110000000.0,26634000000.0,26623000000.0,22359000000.0,25340000000.0,,,F,,,,,,,,,,,,,
Effect Of Exchange Rate Changes,-171000000.0,10000000.0,-180000000.0,-4000000.0,70000000.0,,,F,,,,,,,,,,,,,
Changes In Cash,-4953000000.0,-1534000000.0,191000000.0,4268000000.0,-3051000000.0,,,F,,,,,,,,,,,,,
Financing Cash Flow,-458000000.0,3383000000.0,-338000000.0,3413000000.0,-3874000000.0,,,F,,,,,,,,,,,,,
Cash Flow From Continuing Financing Activities,-458000000.0,3383000000.0,-338000000.0,3413000000.0,-3874000000.0,,,F,,,,,,,,,,,,,
Net Other Financing Charges,-194000000.0,-15000000.0,-29000000.0,-57000000.0,-140000000.0,,,F,,,,,,,,,,,,,
Cash Dividends Paid,-1326000000.0,-601000000.0,-600000000.0,-601000000.0,-3193000000.0,,,F,,,,,,,,,,,,,
Common Stock Dividend Paid,-1326000000.0,,,-601000000.0,-3193000000.0,,,F,,,,,,,,,,,,,
Net Common Stock Issuance,0.0,-335000000.0,0.0,0.0,0.0,,,F,,,,,,,,,,,,,
Common Stock Payments,0.0,-335000000.0,0.0,0.0,0.0,,,F,,,,,,,,,,,,,
Net Issuance Payments Of Debt,1062000000.0,4334000000.0,291000000.0,4071000000.0,-541000000.0,,,F,,,,,,,,,,,,,
Net Short Term Debt Issuance,-1201000000.0,-597000000.0,-284000000.0,1553000000.0,-2211000000.0,,,F,,,,,,,,,,,,,
Net Long Term Debt Issuance,2263000000.0,4931000000.0,575000000.0,2518000000.0,1670000000.0,,,F,,,,,,,,,,,,,
Long Term Debt Payments,-14225000000.0,-10146000000.0,-9606000000.0,-9971000000.0,-12242000000.0,,,F,,,,,,,,,,,,,
Long Term Debt Issuance,16488000000.0,15077000000.0,10181000000.0,12489000000.0,13912000000.0,,,F,,,,,,,,,,,,,
Investing Cash Flow,-5880000000.0,-7409000000.0,-4062000000.0,-4180000000.0,-1977000000.0,,,F,,,,,,,,,,,,,
Cash Flow From Continuing Investing Activities,-5880000000.0,-7409000000.0,-4062000000.0,-4180000000.0,-1977000000.0,,,F,,,,,,,,,,,,,
Net Other Investing Changes,-3557000000.0,-3690000000.0,-2868000000.0,-2748000000.0,-1325000000.0,,,F,,,,,,,,,,,,,
Net Investment Purchase And Sale,410000000.0,-306000000.0,1586000000.0,865000000.0,1827000000.0,,,F,,,,,,,,,,,,,
Sale Of Investment,3579000000.0,2316000000.0,2800000000.0,3171000000.0,4413000000.0,,,F,,,,,,,,,,,,,
Purchase Of Investment,-3169000000.0,-2622000000.0,-1214000000.0,-2306000000.0,-2586000000.0,,,F,,,,,,,,,,,,,
Net Business Purchase And Sale,-639000000.0,-1118000000.0,-568000000.0,-348000000.0,-699000000.0,,,F,,,,,,,,,,,,,
Sale Of Business,,0.0,,,,14000000.0,435000000.0,F,,,,,,,,,,,,,
Purchase Of Business,-639000000.0,-1118000000.0,-568000000.0,-348000000.0,-699000000.0,,,F,,,,,,,,,,,,,
Capital Expenditure Reported,-2094000000.0,-2295000000.0,-2212000000.0,-1949000000.0,-1780000000.0,,,F,,,,,,,,,,,,,
Operating Cash Flow,1385000000.0,2492000000.0,4591000000.0,5035000000.0,2800000000.0,,,F,,,,,,,,,,,,,
Cash Flow From Continuing Operating Activities,1385000000.0,2492000000.0,4591000000.0,5035000000.0,2800000000.0,,,F,,,,,,,,,,,,,
Dividend Received Cfo,-154000000.0,38000000.0,-213000000.0,149000000.0,-7000000.0,,,F,,,,,,,,,,,,,
Dividend Paid Cfo,-154000000.0,38000000.0,,,-7000000.0,,,F,,,,,,,,,,,,,
Change In Working Capital,-1748000000.0,396000000.0,1253000000.0,546000000.0,-1032000000.0,,,F,,,,,,,,,,,,,
Change In Payables And Accrued Expense,3333000000.0,634000000.0,3061000000.0,3811000000.0,2323000000.0,,,F,,,,,,,,,,,,,
Change In Payable,,,,,,,-3691000000.0,F,,,,,,,,,,,,,
Change In Account Payable,,,,,,,-3691000000.0,F,,,,,,,,,,,,,
