metric,2024-03-31 00:00:00,2023-12-31 00:00:00,2023-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,stock,2024-02-29 00:00:00,2023-11-30 00:00:00,2023-08-31 00:00:00,2023-05-31 00:00:00,2023-02-28 00:00:00,2022-11-30 00:00:00,2024-01-31 00:00:00,2023-10-31 00:00:00,2023-07-31 00:00:00,2023-04-30 00:00:00,2023-01-31 00:00:00,2022-10-31 00:00:00
Tax Effect Of Unusual Items,-4988000.0,-3780000.0,-3696000.0,-13328000.0,-11730000.0,,,F,,,,,,,,,,,,
Tax Rate For Calcs,0.172,0.21,0.154,0.119,0.23,,,F,,,,,,,,,,,,
Normalized EBITDA,3438000000.0,219000000.0,3345000000.0,4302000000.0,4147000000.0,,,F,,,,,,,,,,,,
Total Unusual Items,-29000000.0,-18000000.0,-24000000.0,-112000000.0,-51000000.0,,,F,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-29000000.0,-18000000.0,-24000000.0,-112000000.0,-51000000.0,,,F,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,1332000000.0,-526000000.0,1199000000.0,1917000000.0,1757000000.0,,,F,,,,,,,,,,,,
Reconciled Depreciation,1505000000.0,1698000000.0,1604000000.0,1596000000.0,1625000000.0,,,F,,,,,,,,,,,,
Reconciled Cost Of Revenue,39176000000.0,43432000000.0,40001000000.0,39743000000.0,36855000000.0,,,F,,,,,,,,,,,,
EBITDA,3409000000.0,201000000.0,3321000000.0,4190000000.0,4096000000.0,,,F,,,,,,,,,,,,
EBIT,1904000000.0,-1497000000.0,1717000000.0,2594000000.0,2471000000.0,,,F,,,,,,,,,,,,
Net Interest Income,118000000.0,63000000.0,84000000.0,66000000.0,36000000.0,,,F,,,,,,,,,,,,
Interest Expense,292000000.0,370000000.0,330000000.0,306000000.0,312000000.0,,,F,,,,,,,,,,,,
Interest Income,410000000.0,433000000.0,414000000.0,372000000.0,348000000.0,,,F,,,,,,,,,,,,
Normalized Income,1356012000.0,-511780000.0,1219304000.0,2015672000.0,1796270000.0,,,F,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,1332000000.0,-526000000.0,1199000000.0,1917000000.0,1757000000.0,,,F,,,,,,,,,,,,
Total Expenses,41552000000.0,46207000000.0,42672000000.0,42493000000.0,39361000000.0,,,F,,,,,,,,,,,,
Total Operating Income As Reported,1225000000.0,-245000000.0,1129000000.0,2461000000.0,2113000000.0,,,F,,,,,,,,,,,,
Diluted Average Shares,4023000000.0,,4050000000.0,4041000000.0,4029000000.0,,4021000000.0,F,,,,,,,,,,,,
Basic Average Shares,3979000000.0,,4004000000.0,4003000000.0,3990000000.0,,4021000000.0,F,,,,,,,,,,,,
Diluted EPS,0.33,,0.3,0.47,0.44,,-0.21,F,,,,,,,,,,,,
Basic EPS,0.33,,0.3,0.48,0.44,,-0.21,F,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,1332000000.0,-526000000.0,1199000000.0,1917000000.0,1757000000.0,,,F,,,,,,,,,,,,
Net Income Common Stockholders,1332000000.0,-526000000.0,1199000000.0,1917000000.0,1757000000.0,,,F,,,,,,,,,,,,
Net Income,1332000000.0,-526000000.0,1199000000.0,1917000000.0,1757000000.0,,,F,,,,,,,,,,,,
Minority Interests,-2000000.0,-3000000.0,26000000.0,-99000000.0,94000000.0,,,F,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,1334000000.0,-523000000.0,1173000000.0,2016000000.0,1663000000.0,,,F,,,,,,,,,,,,
Net Income Continuous Operations,1334000000.0,-523000000.0,1173000000.0,2016000000.0,1663000000.0,,,F,,,,,,,,,,,,
Tax Provision,278000000.0,-1344000000.0,214000000.0,272000000.0,496000000.0,,,F,,,,,,,,,,,,
Pretax Income,1612000000.0,-1867000000.0,1387000000.0,2288000000.0,2159000000.0,,,F,,,,,,,,,,,,
Other Income Expense,269000000.0,-1685000000.0,174000000.0,-239000000.0,10000000.0,,,F,,,,,,,,,,,,
Other Non Operating Income Expenses,124000000.0,-1802000000.0,-67000000.0,-16000000.0,-73000000.0,,,F,,,,,,,,,,,,
