0,1,stock
Avg Vol (3 month) 3,49.06M,F
Avg Vol (10 day) 3,41.1M,F
Shares Outstanding 5,3.92B,F
Implied Shares Outstanding 6,4.02B,F
Float 8,3.91B,F
% Held by Insiders 1,0.27%,F
% Held by Institutions 1,57.80%,F
Shares Short (4/30/2024) 4,114.97M,F
Short Ratio (4/30/2024) 4,2.12,F
Short % of Float (4/30/2024) 4,3.18%,F
Short % of Shares Outstanding (4/30/2024) 4,2.88%,F
Shares Short (prior month 3/28/2024) 4,140.32M,F
Avg Vol (3 month) 3,9.73M,UAL
Avg Vol (10 day) 3,6.05M,UAL
Shares Outstanding 5,328.8M,UAL
Implied Shares Outstanding 6,338.66M,UAL
Float 8,326.63M,UAL
% Held by Insiders 1,0.48%,UAL
% Held by Institutions 1,75.62%,UAL
Shares Short (4/30/2024) 4,16.65M,UAL
Short Ratio (4/30/2024) 4,1.18,UAL
Short % of Float (4/30/2024) 4,5.74%,UAL
Short % of Shares Outstanding (4/30/2024) 4,5.06%,UAL
Shares Short (prior month 3/28/2024) 4,16.79M,UAL
Avg Vol (3 month) 3,15.03M,GM
Avg Vol (10 day) 3,10.16M,GM
Shares Outstanding 5,1.14B,GM
Implied Shares Outstanding 6,1.15B,GM
Float 8,1.14B,GM
% Held by Insiders 1,0.32%,GM
% Held by Institutions 1,93.39%,GM
Shares Short (4/30/2024) 4,64.63M,GM
Short Ratio (4/30/2024) 4,4.56,GM
Short % of Float (4/30/2024) 4,6.47%,GM
Short % of Shares Outstanding (4/30/2024) 4,5.67%,GM
Shares Short (prior month 3/28/2024) 4,73.57M,GM
Avg Vol (3 month) 3,9.67M,DAL
Avg Vol (10 day) 3,5.46M,DAL
Shares Outstanding 5,645.31M,DAL
Implied Shares Outstanding 6,654.7M,DAL
Float 8,637.9M,DAL
% Held by Insiders 1,0.30%,DAL
% Held by Institutions 1,75.44%,DAL
Shares Short (4/30/2024) 4,18.01M,DAL
Short Ratio (4/30/2024) 4,1.43,DAL
Short % of Float (4/30/2024) 4,3.16%,DAL
Short % of Shares Outstanding (4/30/2024) 4,2.79%,DAL
Shares Short (prior month 3/28/2024) 4,17.69M,DAL
Avg Vol (3 month) 3,7.04M,APA
Avg Vol (10 day) 3,4.65M,APA
Shares Outstanding 5,371.19M,APA
Implied Shares Outstanding 6,373.37M,APA
Float 8,369.25M,APA
% Held by Insiders 1,0.41%,APA
% Held by Institutions 1,75.08%,APA
Shares Short (4/30/2024) 4,17.66M,APA
Short Ratio (4/30/2024) 4,2.8,APA
Short % of Float (4/30/2024) 4,5.44%,APA
Short % of Shares Outstanding (4/30/2024) 4,4.76%,APA
Shares Short (prior month 3/28/2024) 4,22.09M,APA
Avg Vol (3 month) 3,750.98k,LAUR
Avg Vol (10 day) 3,982.51k,LAUR
Shares Outstanding 5,155.16M,LAUR
Implied Shares Outstanding 6,155.16M,LAUR
Float 8,138.3M,LAUR
% Held by Insiders 1,9.36%,LAUR
% Held by Institutions 1,90.40%,LAUR
Shares Short (4/30/2024) 4,4.82M,LAUR
Short Ratio (4/30/2024) 4,6.59,LAUR
Short % of Float (4/30/2024) 4,4.01%,LAUR
Short % of Shares Outstanding (4/30/2024) 4,3.11%,LAUR
Shares Short (prior month 3/28/2024) 4,5.05M,LAUR
Avg Vol (3 month) 3,6.02M,HAL
Avg Vol (10 day) 3,4.74M,HAL
Shares Outstanding 5,885.3M,HAL
Implied Shares Outstanding 6,893.07M,HAL
Float 8,880.33M,HAL
% Held by Insiders 1,0.40%,HAL
% Held by Institutions 1,88.08%,HAL
Shares Short (4/30/2024) 4,22.57M,HAL
Short Ratio (4/30/2024) 4,3.8,HAL
Short % of Float (4/30/2024) 4,3.41%,HAL
Short % of Shares Outstanding (4/30/2024) 4,2.55%,HAL
Shares Short (prior month 3/28/2024) 4,23.74M,HAL
Avg Vol (3 month) 3,11.09M,CVS
Avg Vol (10 day) 3,12.94M,CVS
Shares Outstanding 5,1.26B,CVS
Implied Shares Outstanding 6,1.26B,CVS
Float 8,1.25B,CVS
% Held by Insiders 1,0.12%,CVS
% Held by Institutions 1,82.17%,CVS
Shares Short (4/30/2024) 4,13.71M,CVS
Short Ratio (4/30/2024) 4,1.55,CVS
Short % of Float (4/30/2024) 4,1.09%,CVS
Short % of Shares Outstanding (4/30/2024) 4,1.09%,CVS
Shares Short (prior month 3/28/2024) 4,22.72M,CVS
Avg Vol (3 month) 3,5.58M,MTCH
Avg Vol (10 day) 3,7.44M,MTCH
Shares Outstanding 5,265.67M,MTCH
Implied Shares Outstanding 6,268.76M,MTCH
Float 8,263.82M,MTCH
% Held by Insiders 1,0.76%,MTCH
% Held by Institutions 1,100.73%,MTCH
Shares Short (4/30/2024) 4,15.48M,MTCH
Short Ratio (4/30/2024) 4,3.97,MTCH
Short % of Float (4/30/2024) 4,6.67%,MTCH
Short % of Shares Outstanding (4/30/2024) 4,5.83%,MTCH
Shares Short (prior month 3/28/2024) 4,14.42M,MTCH
Avg Vol (3 month) 3,12.6M,PYPL
Avg Vol (10 day) 3,8.61M,PYPL
Shares Outstanding 5,1.05B,PYPL
Implied Shares Outstanding 6,1.06B,PYPL
Float 8,1.04B,PYPL
% Held by Insiders 1,0.21%,PYPL
% Held by Institutions 1,72.50%,PYPL
Shares Short (4/30/2024) 4,23.28M,PYPL
Short Ratio (4/30/2024) 4,1.99,PYPL
Short % of Float (4/30/2024) 4,2.23%,PYPL
Short % of Shares Outstanding (4/30/2024) 4,2.23%,PYPL
Shares Short (prior month 3/28/2024) 4,21.9M,PYPL
Avg Vol (3 month) 3,3.34M,BRK-B
Avg Vol (10 day) 3,2.9M,BRK-B
Shares Outstanding 5,1.31B,BRK-B
Implied Shares Outstanding 6,2.15B,BRK-B
Float 8,1.21M,BRK-B
% Held by Insiders 1,0.40%,BRK-B
% Held by Institutions 1,66.09%,BRK-B
Shares Short (4/30/2024) 4,10.6M,BRK-B
Short Ratio (4/30/2024) 4,3.65,BRK-B
Short % of Float (4/30/2024) 4,0.91%,BRK-B
Short % of Shares Outstanding (4/30/2024) 4,0.49%,BRK-B
Shares Short (prior month 3/28/2024) 4,10.32M,BRK-B
Avg Vol (3 month) 3,520.13k,DOLE
Avg Vol (10 day) 3,1M,DOLE
Shares Outstanding 5,94.93M,DOLE
Implied Shares Outstanding 6,95.52M,DOLE
Float 8,57.3M,DOLE
% Held by Insiders 1,24.65%,DOLE
% Held by Institutions 1,51.36%,DOLE
Shares Short (4/30/2024) 4,1.69M,DOLE
Short Ratio (4/30/2024) 4,5.52,DOLE
Short % of Float (4/30/2024) 4,2.07%,DOLE
Short % of Shares Outstanding (4/30/2024) 4,1.78%,DOLE
Shares Short (prior month 3/28/2024) 4,1.55M,DOLE
Avg Vol (3 month) 3,1.74M,FDX
Avg Vol (10 day) 3,1.4M,FDX
Shares Outstanding 5,246.08M,FDX
Implied Shares Outstanding 6,248.4M,FDX
Float 8,225.72M,FDX
