0,1,stock
Beta (5Y Monthly),1.63,F
52 Week Range 3,3.58%,F
S&P 500 52-Week Change 3,28.04%,F
52 Week High 3,15.42,F
52 Week Low 3,9.63,F
50-Day Moving Average 3,12.60,F
200-Day Moving Average 3,11.93,F
Beta (5Y Monthly),1.49,UAL
52 Week Range 3,14.10%,UAL
S&P 500 52-Week Change 3,28.04%,UAL
52 Week High 3,58.23,UAL
52 Week Low 3,33.68,UAL
50-Day Moving Average 3,48.36,UAL
200-Day Moving Average 3,44.04,UAL
Beta (5Y Monthly),1.50,GM
52 Week Range 3,34.98%,GM
S&P 500 52-Week Change 3,28.04%,GM
52 Week High 3,46.17,GM
52 Week Low 3,26.30,GM
50-Day Moving Average 3,43.84,GM
200-Day Moving Average 3,36.29,GM
Beta (5Y Monthly),1.39,DAL
52 Week Range 3,47.56%,DAL
S&P 500 52-Week Change 3,28.04%,DAL
52 Week High 3,53.86,DAL
52 Week Low 3,30.60,DAL
50-Day Moving Average 3,48.22,DAL
200-Day Moving Average 3,41.21,DAL
Beta (5Y Monthly),3.29,APA
52 Week Range 3,-8.88%,APA
S&P 500 52-Week Change 3,28.04%,APA
52 Week High 3,46.15,APA
52 Week Low 3,28.90,APA
50-Day Moving Average 3,32.49,APA
200-Day Moving Average 3,35.98,APA
Beta (5Y Monthly),0.78,LAUR
52 Week Range 3,32.95%,LAUR
S&P 500 52-Week Change 3,28.04%,LAUR
52 Week High 3,16.60,LAUR
52 Week Low 3,11.34,LAUR
50-Day Moving Average 3,14.69,LAUR
200-Day Moving Average 3,13.86,LAUR
Beta (5Y Monthly),2.02,HAL
52 Week Range 3,24.13%,HAL
S&P 500 52-Week Change 3,28.04%,HAL
52 Week High 3,43.85,HAL
52 Week Low 3,28.44,HAL
50-Day Moving Average 3,38.44,HAL
200-Day Moving Average 3,38.05,HAL
Beta (5Y Monthly),0.55,CVS
52 Week Range 3,-17.61%,CVS
S&P 500 52-Week Change 3,28.04%,CVS
52 Week High 3,83.25,CVS
52 Week Low 3,53.70,CVS
50-Day Moving Average 3,68.62,CVS
200-Day Moving Average 3,71.37,CVS
Beta (5Y Monthly),1.51,MTCH
52 Week Range 3,-12.40%,MTCH
S&P 500 52-Week Change 3,28.04%,MTCH
52 Week High 3,49.24,MTCH
52 Week Low 3,27.66,MTCH
50-Day Moving Average 3,33.02,MTCH
200-Day Moving Average 3,36.23,MTCH
Beta (5Y Monthly),1.42,PYPL
52 Week Range 3,4.47%,PYPL
S&P 500 52-Week Change 3,28.04%,PYPL
52 Week High 3,76.54,PYPL
52 Week Low 3,50.25,PYPL
50-Day Moving Average 3,64.63,PYPL
200-Day Moving Average 3,60.70,PYPL
Beta (5Y Monthly),0.89,BRK-B
