metric,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,2019-12-31 00:00:00,stock,2023-05-31 00:00:00,2022-05-31 00:00:00,2021-05-31 00:00:00,2020-05-31 00:00:00,2024-01-31 00:00:00,2023-01-31 00:00:00,2022-01-31 00:00:00,2021-01-31 00:00:00,2020-01-31 00:00:00,2024-03-31 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-03-31 00:00:00,2023-06-30 00:00:00,2022-06-30 00:00:00,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2023-09-30 00:00:00,2022-09-30 00:00:00,2021-09-30 00:00:00,2020-09-30 00:00:00
Tax Effect Of Unusual Items,-43050000.0,-2184754000.0,2013390000.0,87480000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Tax Rate For Calcs,0.21,0.286,0.27,0.27,,F,,,,,,,,,,,,,,,,,,,,,,,
Normalized EBITDA,12013000000.0,12398000000.0,18086000000.0,7668000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items,-205000000.0,-7639000000.0,7457000000.0,324000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-205000000.0,-7639000000.0,7457000000.0,324000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,4347000000.0,-1981000000.0,17937000000.0,-1279000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Depreciation,6523000000.0,6493000000.0,5960000000.0,7457000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,160031000000.0,140893000000.0,119903000000.0,121359000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,11808000000.0,4759000000.0,25543000000.0,7992000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
EBIT,5285000000.0,-1734000000.0,19583000000.0,535000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,249000000.0,-643000000.0,-1542000000.0,-1199000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,1318000000.0,1282000000.0,1803000000.0,1651000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,1567000000.0,639000000.0,261000000.0,452000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Normalized Income,4508950000.0,3473246000.0,12493390000.0,-1515520000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,4347000000.0,-1981000000.0,17937000000.0,-1279000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Total Expenses,170733000000.0,151781000000.0,131818000000.0,131552000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income As Reported,5458000000.0,6276000000.0,4523000000.0,-4408000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Diluted Average Shares,4041000000.0,4056000000.0,4034000000.0,3973000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Basic Average Shares,3998000000.0,4014000000.0,3991000000.0,3973000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Diluted EPS,1.08,-0.49,4.45,-0.32,,F,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,1.09,-0.49,4.49,-0.32,,F,,,,,,,,,,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,4347000000.0,-1981000000.0,17937000000.0,-1279000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Net Income Common Stockholders,4347000000.0,-1981000000.0,17937000000.0,-1279000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Net Income,4347000000.0,-1981000000.0,17937000000.0,-1279000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Minority Interests,18000000.0,171000000.0,27000000.0,-3000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,4329000000.0,-2152000000.0,17910000000.0,-1276000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Net Income Continuous Operations,4329000000.0,-2152000000.0,17910000000.0,-1276000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Tax Provision,-362000000.0,-864000000.0,-130000000.0,160000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Pretax Income,3967000000.0,-3016000000.0,17780000000.0,-1116000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Other Income Expense,-1740000000.0,-8649000000.0,14799000000.0,4491000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Other Non Operating Income Expenses,-1958000000.0,2020000000.0,6647000000.0,679000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Special Income Charges,0.0,-121000000.0,-1702000000.0,-1000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Other Special Charges,,121000000.0,1702000000.0,1000000.0,55000000.0,F,,,,,,,,,,,,,,,,,,,,,,,
Earnings From Equity Interest,423000000.0,-3030000000.0,695000000.0,3488000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Gain On Sale Of Security,-205000000.0,-7518000000.0,9159000000.0,325000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,249000000.0,-643000000.0,-1542000000.0,-1199000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense Non Operating,1318000000.0,1282000000.0,1803000000.0,1651000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Interest Income Non Operating,1567000000.0,639000000.0,261000000.0,452000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,5458000000.0,6276000000.0,4523000000.0,-4408000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Operating Expense,10702000000.0,10888000000.0,11915000000.0,10193000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,,,,8607000000.0,9472000000.0,F,,,,,,,,,,,,,,,,,,,,,,,
Selling General And Administration,10702000000.0,10888000000.0,11915000000.0,10193000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,16160000000.0,17164000000.0,16438000000.0,5785000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Cost Of Revenue,160031000000.0,140893000000.0,119903000000.0,121359000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,176191000000.0,158057000000.0,136341000000.0,127144000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
